id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12619,2,〇,山口 健大,SF,23:18,16,6,15,40.0%,2,6,33.3%,2,2,100.0%,0,5,5,2,2,3,1,0,5,0,0,16
9448,3,〇,アンドレ・マーレー,SG,26:31,14,5,17,29.4%,1,7,14.3%,3,8,37.5%,3,3,6,1,2,2,2,1,4,0,0,6
9447,5,-,清水 隆平,PG,07:35,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,1,0,0,0,0,1,0,0,4
12659,6,-,ドリュー・マーティン,PF,24:10,26,10,22,45.5%,0,1,0.0%,6,7,85.7%,6,6,12,2,1,0,2,3,3,0,0,28
12620,7,-,大野 陽平,PF,05:22,2,1,2,50.0%,0,1,0.0%,0,0,-,1,0,1,0,0,0,0,0,0,0,0,2
9256,8,〇,兼子 勇太,PF,23:38,5,2,5,40.0%,1,3,33.3%,0,0,-,1,2,3,2,2,1,0,0,2,0,0,6
9339,9,〇,坂井 耀平,PG,13:10,0,0,1,0.0%,0,0,-,0,0,-,1,0,1,2,0,0,0,0,0,0,0,2
9257,11,-,上松 大輝,SF,06:11,0,0,1,0.0%,0,1,0.0%,0,0,-,1,0,1,0,0,0,0,0,1,0,0,0
12621,12,-,伊藤 尚人,PG,03:31,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,1,1,0,0,0,0,0,2
9343,14,〇,前村 哲也,SG,29:47,2,1,5,20.0%,0,4,0.0%,0,0,-,3,1,4,1,1,0,0,0,1,0,0,2
12660,16,-,ジージオ・ベイン,C,09:19,2,1,4,25.0%,0,0,-,0,2,0.0%,1,0,1,0,2,0,1,0,2,0,0,-3
12622,19,-,前田 英典,SF,03:31,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
10855,21,-,エリマン・プィ,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9245,25,-,草野 佑太,SG,23:57,10,5,11,45.5%,0,1,0.0%,0,3,0.0%,2,2,4,1,2,1,0,0,1,0,0,5
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,4,7,0,1,0,0,0,1,0,0,6
,,,合計,,200:00,81,33,85,38.8%,4,24,16.7%,11,22,50.0%,22,25,47,12,14,8,6,4,21,0,0,77
