id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,36:31,3,1,7,14.3%,0,3,0.0%,1,3,33.3%,1,1,2,4,3,0,0,0,4,0,0,-2
8617,2,-,目 健人,SF,13:17,0,0,5,0.0%,0,4,0.0%,0,0,-,0,0,0,0,1,0,0,0,1,0,0,-6
9246,3,〇,高橋 幸大,PG,40:00,10,2,13,15.4%,2,8,25.0%,4,5,80.0%,1,9,10,3,1,2,0,1,3,0,0,12
10837,4,-,柳下 力哉,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12610,6,-,イブラヒマ・トーマス,PF,21:09,24,8,19,42.1%,5,13,38.5%,3,4,75.0%,3,4,7,1,1,2,1,1,3,0,0,22
12611,7,-,太陽 ロバートソン,SG,08:20,0,0,4,0.0%,0,3,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-4
9497,11,-,今井 宏樹,PG,06:31,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,0,0,0
12612,12,-,シェイク・セイン,C,18:57,4,2,3,66.7%,0,0,-,0,0,-,3,5,8,0,0,0,0,0,2,0,0,11
9247,21,-,師玉 祐一,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9325,23,〇,佐々木 優希,SF,11:09,3,1,4,25.0%,1,3,33.3%,0,0,-,1,1,2,0,2,0,0,0,1,0,0,0
12614,25,〇,フェラコーン・ホール,PF,19:54,15,4,10,40.0%,2,3,66.7%,5,5,100.0%,2,3,5,2,1,1,1,1,5,0,0,17
8769,27,-,小林 大起,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,
9438,30,-,中島 卓也,SG,00:40,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
9242,31,〇,田中 良拓,SG,23:32,5,1,6,16.7%,1,1,100.0%,2,2,100.0%,0,2,2,2,0,0,0,2,0,0,0,4
12615,53,-,森 黄州,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,4,8,0,0,0,0,0,2,0,0,8
,,,合計,,200:00,66,20,74,27.0%,11,39,28.2%,15,19,78.9%,15,29,44,12,10,5,2,5,22,0,0,61
