id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9212,0,-,レイモンド・ニクソン,PF,21:02,18,6,17,35.3%,4,10,40.0%,2,3,66.7%,1,4,5,1,1,2,0,0,3,0,0,13
9213,2,-,坂本 裕基,SG,11:57,4,1,3,33.3%,0,0,-,2,4,50.0%,1,0,1,1,1,0,0,1,2,0,0,1
9214,3,-,横塚 蛍,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9215,7,-,塩塚 直人,SF,01:45,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9217,13,-,西片 翼,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9219,16,-,鮫島 宗一郎,SF,23:37,13,5,12,41.7%,2,6,33.3%,1,2,50.0%,1,5,6,3,1,0,0,1,0,0,0,13
9220,17,〇,田村 晋,PF,16:06,2,1,5,20.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-2
9258,22,〇,鳴海 亮,PG,35:46,9,4,10,40.0%,1,6,16.7%,0,0,-,0,4,4,6,3,3,0,0,1,0,0,13
9222,30,〇,村田 翔,SF,12:10,1,0,5,0.0%,0,2,0.0%,1,2,50.0%,0,0,0,0,1,0,0,1,2,0,0,-6
9223,32,〇,長谷川 武,PF,29:22,11,5,10,50.0%,0,1,0.0%,1,2,50.0%,0,3,3,5,4,1,1,0,2,0,0,11
9435,34,〇,カイル・リチャードソン,PF,24:34,10,4,10,40.0%,0,0,-,2,5,40.0%,6,4,10,1,0,3,0,0,3,0,0,15
9434,36,-,ジョセフ・ヲルフィンガー,13:53,8,4,8,50.0%,0,0,-,0,0,-,5,1,6,2,0,0,0,1,1,0,0,12,
12658,49,-,飯田 鴻朗,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10259,55,-,小林 礼秧,PF,09:48,3,1,4,25.0%,1,3,33.3%,0,0,-,0,0,0,0,1,0,0,0,1,0,0,-1
9225,91,-,佐藤 雄太郎,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,0,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,79,31,84,36.9%,8,28,28.6%,9,18,50.0%,17,21,38,19,12,9,1,4,16,0,0,72
