id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9238,0,-,佐藤 優樹,PG,01:12,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
12619,2,-,山口 健大,SF,10:54,0,0,3,0.0%,0,2,0.0%,0,0,-,0,0,0,3,0,2,0,0,1,0,0,2
9448,3,〇,アンドレ・マーレー,SG,32:49,23,9,18,50.0%,2,7,28.6%,3,5,60.0%,4,8,12,4,0,3,2,0,1,0,0,33
9447,5,-,清水 隆平,PG,02:48,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
12659,6,-,ドリュー・マーティン,PF,23:42,16,7,19,36.8%,2,5,40.0%,0,0,-,0,10,10,0,0,0,0,0,3,0,0,14
9256,8,〇,兼子 勇太,PF,29:06,11,2,6,33.3%,0,2,0.0%,7,7,100.0%,0,3,3,1,0,1,1,0,3,0,0,13
9339,9,-,坂井 耀平,PG,03:03,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,1,0,0,0,0,0,0,-1
9257,11,-,上松 大輝,SF,09:34,3,1,2,50.0%,1,1,100.0%,0,0,-,1,3,4,0,1,0,0,1,0,0,0,5
9343,14,〇,前村 哲也,SG,27:23,7,3,6,50.0%,1,2,50.0%,0,0,-,0,1,1,0,1,0,1,0,2,0,0,5
15828,16,-,マーテル・テイラーバロン,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12622,19,-,前田 英典,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8769,27,〇,小林 大起,PG,30:51,7,3,7,42.9%,1,3,33.3%,0,0,-,0,2,2,4,1,0,0,0,2,0,0,8
15754,43,〇,エルハジ・イブラヒマ・セック,PF,23:29,17,8,14,57.1%,0,0,-,1,2,50.0%,2,6,8,4,2,0,1,1,3,0,0,21
15837,77,-,水谷 槙之介,PG,05:09,0,0,0,-,0,0,-,0,0,-,1,0,1,2,1,1,0,0,1,0,0,3
9453,91,-,田渡 敏信,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,84,33,77,42.9%,7,22,31.8%,11,14,78.6%,9,33,42,19,7,7,5,2,18,0,0,103
