id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9277,3,-,髙橋 理輝,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10853,7,-,寺部 亮佑,PF,28:15,8,4,9,44.4%,0,5,0.0%,0,2,0.0%,1,8,9,0,2,0,0,0,2,0,0,8
9280,9,-,足立 尚也,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10260,14,〇,ニヨキゼラ・イーヴェ,C,17:53,5,1,2,50.0%,0,0,-,3,4,75.0%,5,3,8,0,0,0,0,0,2,0,0,11
9281,15,-,落合 恭兵,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9282,17,〇,石原 裕貴,PG,26:10,5,2,15,13.3%,1,5,20.0%,0,0,-,3,2,5,1,2,2,0,1,1,0,0,-2
9284,28,-,熊谷 慎也,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10816,32,〇,池嶋 一輝,PF,33:52,12,6,12,50.0%,0,0,-,0,0,-,1,3,4,1,1,0,0,0,2,0,0,10
9285,33,〇,藤田 俊祐,SF,31:07,16,6,14,42.9%,0,0,-,4,4,100.0%,1,2,3,0,2,1,1,2,3,0,0,11
9286,34,-,加藤 慧,SG,19:59,9,3,12,25.0%,1,8,12.5%,2,3,66.7%,1,2,3,2,3,3,0,1,3,0,0,4
9287,37,-,渡邊 拓実,PG,16:28,2,1,3,33.3%,0,1,0.0%,0,0,-,1,1,2,0,1,1,0,0,2,0,0,2
9289,55,〇,熊澤 恭平,SG,26:16,10,3,8,37.5%,2,3,66.7%,2,2,100.0%,0,1,1,5,2,0,0,1,3,0,0,9
9290,76,-,合瀬 教成,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,1,0,0,0,0,0,0,3
,,,合計,,200:00,67,26,75,34.7%,4,22,18.2%,11,15,73.3%,15,24,39,9,14,7,1,5,18,0,0,56
