id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,-,浅野 崇史,SF,04:17,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
9241,3,〇,亀崎 光博,SF,33:38,7,2,6,33.3%,1,4,25.0%,2,2,100.0%,0,2,2,3,2,0,0,0,3,0,0,6
12623,5,-,ウェンデル・ルイス,C,18:57,9,4,9,44.4%,0,0,-,1,4,25.0%,1,5,6,0,1,1,2,0,1,0,0,9
9252,6,〇,金井 賢治,PF,23:14,4,1,3,33.3%,1,3,33.3%,1,2,50.0%,0,1,1,0,0,1,0,0,0,0,0,3
12624,10,-,ブレナン・マッケルロイ,PF,12:39,6,2,3,66.7%,0,0,-,2,2,100.0%,2,4,6,1,1,0,0,0,4,0,0,11
9254,14,-,地久里 謙成,SF,23:08,15,6,12,50.0%,3,6,50.0%,0,0,-,0,1,1,0,1,0,0,0,3,0,0,9
8545,25,-,山口 力也,SG,01:12,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9259,32,〇,エドワード・モリス,PF,23:04,5,1,8,12.5%,0,1,0.0%,3,4,75.0%,2,5,7,4,2,0,0,0,2,0,0,6
9261,52,〇,アレクサンダー・ジョーンズ,C,21:03,19,8,13,61.5%,0,1,0.0%,3,4,75.0%,2,5,7,2,4,0,0,1,2,0,0,18
9262,77,〇,大金 広弥,PG,38:48,13,5,11,45.5%,2,4,50.0%,1,1,100.0%,2,5,7,4,1,3,2,0,1,0,0,22
10854,99,-,大城 侑朔,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,78,29,65,44.6%,7,19,36.8%,13,19,68.4%,9,30,39,14,12,5,4,1,16,0,0,86
