id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12603,1,〇,ダーネル・マーティン・ジュニア,PF,34:06,19,7,11,63.6%,1,1,100.0%,4,11,36.4%,7,11,18,3,3,1,0,0,3,0,0,27
9406,2,〇,玉田 博人,SG,25:09,11,5,9,55.6%,1,2,50.0%,0,0,-,1,1,2,0,2,2,0,0,0,0,0,9
8543,6,〇,館山 健太,SF,20:42,8,2,11,18.2%,1,7,14.3%,3,4,75.0%,1,3,4,3,3,1,0,0,1,0,0,3
9397,7,-,頭山 竜之介,PG,12:34,2,0,3,0.0%,0,1,0.0%,2,2,100.0%,0,1,1,1,2,1,0,0,3,0,0,0
12605,14,-,高比良 寛治,SF,17:37,4,1,5,20.0%,0,1,0.0%,2,2,100.0%,1,1,2,1,2,0,0,1,0,0,0,1
9399,31,〇,山田 安斗夢,SG,33:48,8,3,11,27.3%,0,3,0.0%,2,2,100.0%,1,3,4,1,3,2,0,1,3,0,0,4
9408,39,-,中園 隆一郎,PF,07:45,2,1,1,100.0%,0,0,-,0,0,-,1,1,2,0,2,0,0,0,1,0,0,2
9409,41,〇,松崎 圭介,SG,22:25,6,2,6,33.3%,2,6,33.3%,0,0,-,1,0,1,1,0,1,0,0,3,0,0,5
12660,50,-,ジージオ・ベイン,C,25:54,6,2,7,28.6%,0,0,-,2,2,100.0%,3,2,5,1,0,1,0,1,4,0,0,8
12609,81,-,石川 尚樹,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,0,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,66,23,64,35.9%,5,21,23.8%,15,23,65.2%,19,23,42,11,17,9,0,3,18,0,0,62
