id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9238,0,-,佐藤 優樹,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12619,2,〇,山口 健大,SF,17:56,0,0,4,0.0%,0,2,0.0%,0,0,-,0,1,1,0,0,1,1,0,2,0,0,-1
9448,3,〇,アンドレ・マーレー,SG,34:34,43,17,23,73.9%,3,4,75.0%,6,7,85.7%,3,7,10,4,2,2,2,0,2,0,0,52
9447,5,-,清水 隆平,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12659,6,-,ドリュー・マーティン,PF,21:45,15,6,16,37.5%,0,2,0.0%,3,4,75.0%,0,3,3,2,2,4,2,0,1,0,0,13
12620,7,-,大野 陽平,PF,17:54,6,1,3,33.3%,1,2,50.0%,3,3,100.0%,0,1,1,2,0,2,0,1,2,0,0,9
9256,8,-,兼子 勇太,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9339,9,〇,坂井 耀平,PG,33:42,4,1,5,20.0%,1,3,33.3%,1,2,50.0%,2,2,4,6,1,1,0,0,2,0,0,9
9257,11,-,上松 大輝,SF,15:20,5,1,1,100.0%,1,1,100.0%,2,2,100.0%,0,3,3,1,0,0,0,0,1,0,0,9
9343,14,〇,前村 哲也,SG,30:42,14,5,8,62.5%,4,6,66.7%,0,0,-,0,3,3,2,1,0,0,0,2,0,0,15
12622,19,-,前田 英典,SF,07:27,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
8769,27,-,小林 大起,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15754,43,〇,エルハジ・イブラヒマ・セック,PF,20:40,12,4,13,30.8%,4,11,36.4%,0,0,-,0,5,5,2,0,1,1,1,4,0,0,12
9453,91,-,田渡 敏信,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
,,,合計,,200:00,99,35,74,47.3%,14,32,43.8%,15,18,83.3%,5,26,31,19,6,11,6,2,16,0,0,118
