id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9208,0,〇,上田 雅也,SG,28:37,26,10,14,71.4%,2,3,66.7%,4,4,100.0%,1,2,3,5,0,0,0,0,1,0,0,30
8617,2,-,目 健人,SF,10:42,6,2,4,50.0%,2,4,50.0%,0,0,-,0,0,0,1,1,1,0,0,0,0,0,5
9246,3,〇,高橋 幸大,PG,27:33,20,8,15,53.3%,2,5,40.0%,2,2,100.0%,1,1,2,6,3,3,0,0,3,0,0,21
10837,4,-,柳下 力哉,SG,01:18,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
12610,6,-,イブラヒマ・トーマス,PF,19:08,7,2,7,28.6%,1,3,33.3%,2,2,100.0%,1,10,11,1,0,2,2,1,2,0,0,18
12611,7,-,太陽 ロバートソン,SG,03:01,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-2
9497,11,〇,今井 宏樹,PG,22:06,4,2,6,33.3%,0,3,0.0%,0,0,-,1,1,2,2,0,0,0,0,3,0,0,4
12612,12,〇,シェイク・セイン,C,15:33,6,3,3,100.0%,0,0,-,0,0,-,1,7,8,0,2,2,1,0,3,0,0,15
9247,21,-,師玉 祐一,SF,04:01,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9325,23,〇,佐々木 優希,SF,20:37,6,2,3,66.7%,2,3,66.7%,0,0,-,0,2,2,0,1,1,0,0,2,0,0,7
12614,25,-,フェラコーン・ホール,PF,21:03,22,8,14,57.1%,0,1,0.0%,6,7,85.7%,4,1,5,2,3,1,0,0,2,0,0,20
8769,27,-,小林 大起,PG,04:24,7,2,3,66.7%,1,1,100.0%,2,2,100.0%,1,2,3,1,1,0,0,0,0,0,0,9
9438,30,-,中島 卓也,SG,03:33,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,1,0,1,0,0,0,0,0,0
9242,31,-,田中 良拓,SG,12:38,0,0,2,0.0%,0,0,-,0,0,-,0,2,2,0,0,1,0,0,0,0,0,1
12615,53,-,森 黄州,SG,05:46,3,1,3,33.3%,1,2,50.0%,0,0,-,0,0,0,0,0,0,0,0,2,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,107,40,78,51.3%,11,29,37.9%,16,17,94.1%,10,30,40,19,11,12,3,1,19,0,0,131
