id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12603,1,〇,ダーネル・マーティン・ジュニア,PF,28:02,21,10,17,58.8%,0,1,0.0%,1,2,50.0%,3,7,10,8,5,1,0,0,4,0,0,27
9406,2,-,玉田 博人,SG,14:43,9,4,6,66.7%,0,0,-,1,1,100.0%,1,1,2,1,2,0,0,0,2,0,0,8
8543,6,-,館山 健太,SF,25:43,4,2,6,33.3%,0,1,0.0%,0,0,-,1,4,5,9,4,1,3,0,0,0,0,14
9397,7,〇,頭山 竜之介,PG,20:11,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,1,1,2,0,1,3,0,0,2
12605,14,-,高比良 寛治,SF,04:12,2,1,1,100.0%,0,0,-,0,0,-,1,1,2,1,0,0,0,0,0,0,0,5
9079,23,-,生野 竹千代,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9399,31,〇,山田 安斗夢,SG,24:35,10,4,5,80.0%,0,0,-,2,2,100.0%,1,3,4,4,3,1,0,0,3,0,0,15
12607,35,-,クリストファー・オリビエ,C,28:47,43,16,18,88.9%,0,0,-,11,19,57.9%,1,12,13,0,6,0,4,0,1,0,0,44
9408,39,〇,中園 隆一郎,PF,24:35,11,5,10,50.0%,1,3,33.3%,0,0,-,1,2,3,2,2,2,0,0,2,0,0,11
9409,41,〇,松崎 圭介,SG,29:12,4,2,5,40.0%,0,3,0.0%,0,0,-,1,3,4,5,2,1,0,0,3,0,0,9
12608,55,-,肥後 剛,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,3,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,104,44,69,63.8%,1,8,12.5%,15,24,62.5%,11,37,48,31,25,8,7,1,18,0,0,139
