id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12619,2,〇,山口 健大,SF,18:41,0,0,3,0.0%,0,2,0.0%,0,0,-,0,0,0,1,0,0,0,0,4,0,0,-2
9448,3,〇,アンドレ・マーレー,SG,25:19,20,7,16,43.8%,0,2,0.0%,6,9,66.7%,0,3,3,0,3,2,0,0,4,0,0,10
9447,5,〇,清水 隆平,PG,19:00,3,1,3,33.3%,1,3,33.3%,0,0,-,1,0,1,2,0,2,0,0,1,0,0,6
12659,6,-,ドリュー・マーティン,PF,15:01,13,6,12,50.0%,0,2,0.0%,1,4,25.0%,1,4,5,0,2,1,1,0,0,0,0,9
9339,9,-,坂井 耀平,PG,34:13,9,3,8,37.5%,3,5,60.0%,0,0,-,1,4,5,2,1,1,0,0,3,0,0,11
9257,11,-,上松 大輝,SF,16:12,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,0,0,2,0,1,2,0,0,3
9343,14,〇,前村 哲也,SG,21:23,5,2,4,50.0%,1,3,33.3%,0,0,-,2,0,2,1,1,0,0,0,4,0,0,5
12660,16,-,ジージオ・ベイン,C,10:34,8,4,4,100.0%,0,0,-,0,0,-,2,3,5,0,1,0,0,0,3,0,0,12
12622,19,-,前田 英典,SF,10:31,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
15754,43,〇,エルハジ・イブラヒマ・セック,PF,29:06,14,5,14,35.7%,0,0,-,4,6,66.7%,2,6,8,3,1,2,0,0,2,0,0,15
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,74,29,66,43.9%,5,17,29.4%,11,19,57.9%,11,21,32,9,10,10,1,1,23,0,0,71
