id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
15752,2,-,岡田 雄三,PG,06:46,2,1,3,33.3%,0,1,0.0%,0,0,-,1,0,1,0,0,0,0,1,0,0,0,1
9277,3,-,髙橋 理輝,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10853,7,-,寺部 亮佑,PF,02:34,0,0,1,0.0%,0,1,0.0%,0,0,-,2,0,2,0,0,0,0,0,0,0,0,1
9279,8,-,五十嵐 貴志,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9280,9,-,足立 尚也,SF,11:44,1,0,5,0.0%,0,4,0.0%,1,2,50.0%,0,0,0,0,0,1,0,0,2,0,0,-4
10260,14,〇,ニヨキゼラ・イーヴェ,C,35:08,7,3,9,33.3%,0,0,-,1,2,50.0%,6,6,12,2,4,3,0,1,2,0,0,13
9281,15,-,落合 恭兵,PF,05:21,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,0,0,1
9282,17,〇,石原 裕貴,PG,32:36,23,9,16,56.3%,2,7,28.6%,3,4,75.0%,1,4,5,0,2,2,0,1,2,0,0,20
9284,28,-,熊谷 慎也,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10816,32,〇,池嶋 一輝,PF,32:03,16,6,8,75.0%,0,0,-,4,5,80.0%,3,6,9,3,1,0,0,0,3,0,0,24
9285,33,〇,藤田 俊祐,SF,23:38,9,4,15,26.7%,0,1,0.0%,1,2,50.0%,2,2,4,1,3,0,0,0,2,0,0,-1
9286,34,-,加藤 慧,SG,17:57,6,2,9,22.2%,2,7,28.6%,0,0,-,1,1,2,2,1,0,0,0,3,0,0,2
9287,37,-,渡邊 拓実,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15810,38,-,宮脇 隼人,C,02:46,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,1,2,0,0,-1
9289,55,〇,熊澤 恭平,SG,29:27,2,1,7,14.3%,0,4,0.0%,0,0,-,1,4,5,3,3,0,1,0,3,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,4,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,68,27,75,36.0%,4,25,16.0%,10,15,66.7%,19,27,46,11,15,6,1,4,20,0,0,64
