id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,-,浅野 崇史,SF,10:35,5,2,4,50.0%,1,1,100.0%,0,0,-,1,0,1,2,1,0,0,0,1,0,0,5
9241,3,〇,亀崎 光博,SF,25:26,3,1,8,12.5%,1,4,25.0%,0,0,-,0,1,1,3,3,1,0,0,0,0,0,-2
12623,5,-,ウェンデル・ルイス,C,26:32,10,5,8,62.5%,0,0,-,0,4,0.0%,6,3,9,1,4,1,2,0,1,0,0,12
9252,6,〇,金井 賢治,PF,24:13,6,2,5,40.0%,2,3,66.7%,0,0,-,0,1,1,2,3,0,0,0,1,0,0,3
12647,7,-,和田 尚之,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12624,10,-,ブレナン・マッケルロイ,PF,20:00,10,5,6,83.3%,0,0,-,0,0,-,5,5,10,2,2,2,1,0,0,0,0,22
9254,14,-,地久里 謙成,SF,19:24,5,2,13,15.4%,1,4,25.0%,0,0,-,2,1,3,3,0,0,0,0,1,0,0,0
8545,25,-,山口 力也,SG,00:37,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
9259,32,〇,エドワード・モリス,PF,19:22,12,6,9,66.7%,0,0,-,0,1,0.0%,3,8,11,1,4,2,2,1,0,0,0,20
9260,39,-,中村 寛大,PG,01:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9261,52,〇,アレクサンダー・ジョーンズ,C,13:28,5,1,2,50.0%,0,0,-,3,3,100.0%,1,3,4,1,2,0,0,0,2,0,0,7
9262,77,〇,大金 広弥,PG,27:19,13,5,9,55.6%,1,2,50.0%,2,3,66.7%,1,3,4,3,2,3,1,0,3,0,0,17
10854,99,-,大城 侑朔,PG,12:04,13,5,9,55.6%,3,5,60.0%,0,0,-,1,2,3,1,0,0,0,0,1,0,0,13
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,4,5,0,0,0,0,0,0,0,0,5
,,,合計,,200:00,82,34,73,46.6%,9,19,47.4%,5,11,45.5%,21,31,52,19,22,9,6,1,11,0,0,101
