id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9212,0,-,レイモンド・ニクソン,PF,21:42,12,5,10,50.0%,2,5,40.0%,0,0,-,1,8,9,0,0,1,1,0,1,0,0,18
9213,2,-,坂本 裕基,SG,11:28,2,1,3,33.3%,0,0,-,0,0,-,1,0,1,2,2,2,0,1,0,0,0,3
9214,3,-,横塚 蛍,PG,10:27,2,1,3,33.3%,0,1,0.0%,0,0,-,1,1,2,2,3,0,0,0,2,0,0,1
9215,7,-,塩塚 直人,SF,05:08,0,0,2,0.0%,0,2,0.0%,0,0,-,0,2,2,0,0,0,0,0,0,0,0,0
9216,10,-,谷尾 俊紀,SF,08:23,1,0,1,0.0%,0,0,-,1,2,50.0%,1,0,1,1,0,0,0,0,0,0,0,1
9035,12,-,アンドリュー・ネイミック,C,15:20,2,1,3,33.3%,0,0,-,0,0,-,1,3,4,3,2,1,2,0,1,0,0,8
9217,13,-,西片 翼,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9219,16,〇,鮫島 宗一郎,SF,18:10,11,5,10,50.0%,0,2,0.0%,1,1,100.0%,0,2,2,1,1,0,1,0,1,0,0,9
9220,17,〇,田村 晋,PF,18:29,6,3,6,50.0%,0,0,-,0,3,0.0%,0,1,1,2,1,1,0,1,0,0,0,3
9258,22,〇,鳴海 亮,PG,25:03,9,3,7,42.9%,1,4,25.0%,2,2,100.0%,0,2,2,4,2,1,0,0,1,0,0,10
9222,30,〇,村田 翔,SF,18:53,4,2,7,28.6%,0,4,0.0%,0,0,-,1,2,3,1,1,0,0,0,2,0,0,2
9435,34,〇,カイル・リチャードソン,PF,22:58,16,7,13,53.8%,0,1,0.0%,2,3,66.7%,8,5,13,2,0,3,0,0,2,0,0,27
12658,49,-,飯田 鴻朗,PG,08:50,2,1,4,25.0%,0,0,-,0,0,-,0,0,0,0,0,1,0,0,1,0,0,0
10259,55,-,小林 礼秧,PF,08:13,2,1,4,25.0%,0,0,-,0,0,-,0,0,0,2,1,0,0,0,1,0,0,0
9225,91,-,佐藤 雄太郎,SF,06:56,3,1,3,33.3%,1,3,33.3%,0,0,-,0,1,1,1,2,0,0,0,1,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,5,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,72,31,76,40.8%,4,22,18.2%,6,11,54.5%,15,32,47,21,15,10,4,2,13,0,0,89
