id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
10824,0,〇,會田 圭佑,PG,28:31,8,3,8,37.5%,1,4,25.0%,1,1,100.0%,0,1,1,2,1,2,0,1,2,2,0,7
9396,3,-,鮫島 和人,PG,12:33,0,0,2,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3,2,0,-2
12502,4,-,ニコラス・バンヤード,PF,23:51,13,5,13,38.5%,2,4,50.0%,1,4,25.0%,0,6,6,1,1,1,0,0,4,3,0,9
8542,8,〇,下山 大地,SG,30:34,6,2,7,28.6%,0,3,0.0%,2,2,100.0%,0,3,3,2,0,0,0,0,2,3,0,6
10299,9,-,野里 惇貴,SG,03:47,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12501,11,〇,ジョセフ・バートン,PF/C,29:49,13,6,18,33.3%,0,0,-,1,2,50.0%,2,10,12,9,2,2,0,1,3,3,0,21
12503,13,-,キース・ガロン,PF/C,06:20,0,0,2,0.0%,0,1,0.0%,0,0,-,0,3,3,0,4,0,0,0,2,1,0,-3
8544,15,-,下山 貴裕,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8742,18,〇,菅 俊男,SF,36:59,14,6,10,60.0%,0,0,-,2,4,50.0%,2,2,4,1,1,2,0,0,3,5,0,14
9459,21,-,橋本 龍弥,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10877,22,〇,門馬 圭二郎,SG/SF,20:47,16,7,9,77.8%,2,4,50.0%,0,1,0.0%,2,1,3,0,1,3,0,0,2,1,0,18
8743,58,-,永山 雄太,SG,06:49,0,0,0,-,0,0,-,0,0,-,1,0,1,0,1,0,0,0,1,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,1,0,0,0,0,0,0,2
,,,合計,,200:00,70,29,69,42.0%,5,16,31.3%,7,14,50.0%,9,27,36,15,12,10,0,2,22,20,0,72
