id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18440,1,-,ジョシュ・ダンカン,PF,17:25,2,1,4,25.0%,0,1,0.0%,0,0,-,0,6,6,2,2,0,1,1,1,1,0,6
9055,2,〇,富樫 勇樹,PG,31:47,19,8,20,40.0%,3,12,25.0%,0,0,-,1,2,3,6,1,2,0,1,2,0,0,17
8579,3,〇,マイケル・パーカー,PF,36:16,6,3,9,33.3%,0,0,-,0,0,-,2,8,10,2,0,1,1,0,3,0,2,14
8468,5,-,田口 成浩,SG,27:26,14,5,8,62.5%,4,7,57.1%,0,0,-,0,1,1,3,0,0,0,0,3,0,0,15
8653,8,-,大宮 宏正,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8448,10,〇,アキ・チェンバース,SF,17:04,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,2,0,0,0,1,0,3
8580,11,-,西村 文男,PG,10:09,0,0,4,0.0%,0,2,0.0%,0,0,-,0,0,0,2,1,1,0,0,3,0,0,-2
8736,15,-,藤永 佳昭,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8593,21,〇,ギャビン・エドワーズ,PF,26:19,20,8,16,50.0%,0,2,0.0%,4,7,57.1%,2,6,8,1,3,1,2,1,2,6,2,18
8583,27,〇,石井 講祐,SG,10:49,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,1,0,0,0,0,1,1,0,1
8584,31,-,原 修太,SG/SF,22:45,6,2,5,40.0%,0,2,0.0%,2,2,100.0%,0,0,0,0,1,0,0,0,3,1,0,2
8585,34,-,小野 龍猛,SF/PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,5,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,67,27,67,40.3%,7,27,25.9%,6,9,66.7%,6,30,36,17,8,7,4,3,18,10,4,80
