id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8456,1,-,小島 元基,PG,15:31,1,0,2,0.0%,0,0,-,1,2,50.0%,0,1,1,1,0,1,0,1,1,1,0,1
14301,2,-,齋藤 拓実,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8467,3,〇,安藤 誓哉,PG,25:03,9,3,9,33.3%,1,3,33.3%,2,2,100.0%,0,2,2,2,0,2,0,0,2,3,0,9
12577,6,〇,馬場 雄大,SF,30:34,14,4,10,40.0%,0,1,0.0%,6,9,66.7%,1,4,5,5,1,1,0,0,1,8,0,15
9029,7,-,正中 岳城,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9031,10,-,ザック・バランスキー,SF/PF,18:48,5,2,6,33.3%,1,4,25.0%,0,0,-,1,0,1,1,0,1,0,0,2,1,0,4
9032,13,〇,菊地 祥平,SF,05:18,0,0,0,-,0,0,-,0,0,-,0,0,0,1,2,1,0,0,1,0,0,0
9033,15,〇,竹内 譲次,PF/C,21:58,3,1,1,100.0%,1,1,100.0%,0,0,-,3,4,7,0,0,0,1,0,2,0,0,11
9037,24,-,田中 大貴,SG,24:46,2,0,5,0.0%,0,2,0.0%,2,2,100.0%,0,2,2,6,1,0,0,0,1,3,0,4
19956,32,-,シェーファー アヴィ 幸樹,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18397,51,-,ミルコ・ビエリツァ,PF,23:01,16,7,13,53.8%,2,4,50.0%,0,0,-,0,4,4,1,1,0,1,0,2,3,2,15
12582,53,〇,アレックス・カーク,C,35:01,17,6,12,50.0%,1,1,100.0%,4,5,80.0%,5,5,10,0,1,0,1,1,0,4,1,20
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,2,0,0,0,0,0,0,2
,,,合計,,200:00,67,23,58,39.7%,6,16,37.5%,15,20,75.0%,12,24,36,17,8,6,3,2,12,23,3,81
