id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18436,0,-,ジェームズ・サザランド,SF,26:16,22,8,22,36.4%,0,4,0.0%,6,6,100.0%,2,4,6,2,2,0,3,2,2,4,0,17
8590,4,-,狩俣 昌也,PG,10:21,3,1,2,50.0%,1,2,50.0%,0,0,-,0,1,1,0,1,0,0,0,1,0,0,2
8591,5,〇,アイザック・バッツ,C,24:02,11,4,7,57.1%,0,0,-,3,4,75.0%,3,6,9,1,3,0,0,1,1,3,0,14
8457,8,-,村上 直,PG,13:14,4,2,2,100.0%,0,0,-,0,0,-,0,2,2,2,0,1,0,0,3,1,0,9
9405,9,-,森川 正明,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8510,12,-,西川 貴之,SF,16:52,2,1,3,33.3%,0,1,0.0%,0,0,-,0,4,4,0,0,0,0,0,1,0,0,4
8592,14,〇,金丸 晃輔,SG/SF,25:57,4,2,5,40.0%,0,2,0.0%,0,0,-,0,0,0,0,1,0,0,0,0,0,0,0
9034,16,-,松井 啓十郎,SG,20:34,9,3,5,60.0%,1,3,33.3%,2,2,100.0%,1,2,3,1,1,1,0,0,0,1,0,11
8595,24,〇,加藤 寿一,SG,15:12,0,0,3,0.0%,0,1,0.0%,0,0,-,0,1,1,0,0,2,0,1,1,0,0,0
8596,32,〇,桜木 ジェイアール,PF,29:42,12,6,10,60.0%,0,0,-,0,0,-,1,3,4,3,2,1,0,0,3,1,1,14
10822,46,〇,生原 秀将,PG,17:50,2,1,2,50.0%,0,0,-,0,1,0.0%,0,0,0,1,1,0,0,0,1,2,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,1,0,0,0,0,0,0,1
,,,合計,,200:00,69,28,61,45.9%,2,13,15.4%,11,13,84.6%,8,24,32,10,12,5,3,4,13,12,1,72
