id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
10849,3,-,伊藤 達哉,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8483,7,〇,晴山 ケビン,SF,23:59,14,5,11,45.5%,4,10,40.0%,0,0,-,0,2,2,4,0,0,0,0,3,0,0,14
8681,9,〇,綿貫 瞬,PG,29:30,8,4,7,57.1%,0,1,0.0%,0,0,-,1,1,2,5,0,1,0,0,0,2,0,13
8729,12,〇,岡田 優介,SG,26:29,19,5,7,71.4%,5,6,83.3%,4,4,100.0%,0,0,0,0,1,2,0,0,2,4,0,18
9341,13,-,近 忍,SF,01:35,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,1,0,0,0
18461,20,-,岸田 篤生,PG,05:21,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,2,0,0,-1
8709,32,〇,ジュリアン・マブンガ,PF,35:41,14,4,13,30.8%,1,4,25.0%,5,6,83.3%,1,9,10,7,4,1,1,0,2,5,0,19
8459,33,-,内海 慎吾,SG,27:41,1,0,4,0.0%,0,4,0.0%,1,1,100.0%,1,0,1,1,1,3,0,0,2,0,0,1
10262,45,-,頓宮 裕人,PF/C,01:29,2,1,2,50.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,2
18460,50,〇,デイヴィッド・サイモン,C,37:06,18,8,16,50.0%,0,1,0.0%,2,2,100.0%,2,6,8,4,4,3,0,1,4,1,0,21
8481,91,-,片岡 大晴,SG,11:09,5,2,4,50.0%,1,2,50.0%,0,0,-,1,1,2,1,1,0,0,0,0,0,0,5
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,81,29,64,45.3%,11,28,39.3%,12,13,92.3%,6,23,29,22,13,10,1,1,16,12,0,94
