id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8662,0,-,満原 優樹,PF/C,08:09,2,1,3,33.3%,0,0,-,0,0,-,0,4,4,0,0,1,0,0,3,0,0,5
8730,1,-,清水 太志郎,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8554,2,-,秋葉 真司,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8784,3,-,ファイ サンバ,C,05:01,0,0,2,0.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,-1
10819,6,〇,ロバート・サクレ,C,37:00,24,11,17,64.7%,0,2,0.0%,2,2,100.0%,4,7,11,1,0,0,1,0,0,1,0,31
8446,7,〇,伊藤 駿,PG,21:22,4,2,4,50.0%,0,1,0.0%,0,0,-,0,2,2,2,3,0,0,0,1,1,0,3
8447,9,〇,ベンドラメ 礼生,PG,25:07,2,1,7,14.3%,0,2,0.0%,0,0,-,1,2,3,3,2,1,0,1,0,2,0,1
10820,14,〇,杉浦 佑成,SF,17:17,3,1,4,25.0%,1,2,50.0%,0,0,-,0,1,1,1,0,0,0,0,1,0,0,2
8594,22,-,長谷川 智也,SG,14:36,3,1,3,33.3%,1,2,50.0%,0,0,-,0,2,2,1,2,1,0,0,1,2,0,3
8450,24,-,広瀬 健太,SF,19:53,0,0,3,0.0%,0,3,0.0%,0,0,-,2,2,4,3,1,0,0,0,2,1,0,3
8658,32,-,山内 盛久,PG/SG,17:16,7,3,5,60.0%,1,2,50.0%,0,0,-,0,0,0,2,2,0,0,0,1,0,0,5
18398,34,〇,ライアン・ケリー,SF/PF,34:19,19,7,18,38.9%,2,4,50.0%,3,3,100.0%,1,6,7,4,0,1,1,0,2,4,0,21
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,2,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,64,27,66,40.9%,5,18,27.8%,5,5,100.0%,10,29,39,17,10,4,2,1,11,11,0,77
