id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8642,0,〇,遥 天翼,SF,40:36,17,6,11,54.5%,2,5,40.0%,3,3,100.0%,0,0,0,6,1,1,0,1,2,2,0,18
9310,5,〇,山下 泰弘,PG,41:51,3,1,6,16.7%,1,3,33.3%,0,0,-,1,0,1,6,0,2,0,0,2,2,0,7
9311,6,-,小林 大祐,SG,13:32,5,2,6,33.3%,1,4,25.0%,0,0,-,1,0,1,1,0,1,0,0,4,1,0,4
9313,8,-,薦田 拓也,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9328,10,-,波多野 和也,SF/PF,01:56,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
8654,13,-,津山 尚大,PG,05:28,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,1,0,0,0,0,0,0
19997,23,〇,マーカス・ブレイクリー,SF/PF,45:00,37,12,19,63.2%,4,6,66.7%,9,11,81.8%,2,9,11,12,3,2,0,2,3,9,0,50
9317,24,-,石谷 聡,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8731,31,〇,城宝 匡史,SG,29:09,11,4,9,44.4%,3,7,42.9%,0,1,0.0%,0,3,3,1,0,0,1,0,4,3,0,10
10265,34,〇,デクスター・ピットマン,C,43:04,29,13,21,61.9%,0,0,-,3,4,75.0%,4,6,10,4,1,2,0,0,4,2,3,35
9319,41,-,加納 誠也,SF/PF,04:24,3,1,3,33.3%,1,2,50.0%,0,0,-,0,0,0,0,1,0,0,1,1,0,0,0
22398,58,-,鈴木 龍雄,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,0,0,0,0,0,0,0,3
,,,合計,,225:00,105,39,77,50.6%,12,28,42.9%,15,19,78.9%,10,19,29,30,6,9,1,4,20,19,3,126
