id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8462,0,-,小林 遥太,PG,21:57,5,1,3,33.3%,1,2,50.0%,2,2,100.0%,1,2,3,2,2,1,0,0,3,1,0,7
10844,3,-,満田 丈太郎,SG/SF,13:44,0,0,3,0.0%,0,2,0.0%,0,0,-,0,1,1,0,0,0,0,0,0,0,0,-2
9056,5,〇,ヒルトン・アームストロング,PF/C,41:56,18,5,12,41.7%,0,1,0.0%,8,13,61.5%,7,14,21,1,3,1,3,0,5,9,1,29
8479,6,-,菊池 真人,PF,00:24,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8738,8,-,張本 天傑,SF/PF,23:09,7,3,4,75.0%,0,0,-,1,1,100.0%,1,0,1,1,2,1,0,0,2,2,0,7
10815,9,〇,安藤 周人,SG,33:21,11,3,13,23.1%,2,8,25.0%,3,4,75.0%,0,1,1,3,3,0,0,1,0,2,0,1
8516,12,〇,中東 泰斗,SG,23:36,0,0,6,0.0%,0,2,0.0%,0,0,-,2,1,3,1,3,0,0,2,1,0,0,-5
8739,18,-,中務 敏宏,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8517,21,〇,笹山 貴哉,PG,24:02,5,2,7,28.6%,1,5,20.0%,0,0,-,0,0,0,1,2,1,0,0,3,1,0,0
9383,24,〇,ジャスティン・バーレル,PF/C,42:51,22,8,13,61.5%,1,2,50.0%,5,7,71.4%,0,11,11,5,1,0,0,0,2,7,1,30
20034,31,-,木下 誠,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,4,5,0,0,0,0,0,0,0,0,5
,,,合計,,225:00,68,22,61,36.1%,5,22,22.7%,19,27,70.4%,12,34,46,14,16,4,3,3,16,22,2,72
