id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8650,0,-,田臥 勇太,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8835,4,〇,ジェフ・ギブス,PF/C,31:13,15,6,11,54.5%,2,3,66.7%,1,2,50.0%,4,5,9,5,1,3,1,2,2,3,0,26
8589,6,-,比江島 慎,SG,23:04,9,4,6,66.7%,1,1,100.0%,0,0,-,1,2,3,10,1,2,0,0,4,0,1,21
8497,9,〇,遠藤 祐亮,PG/SG,23:28,17,6,11,54.5%,4,5,80.0%,1,1,100.0%,0,1,1,4,0,1,0,0,3,2,0,18
8726,10,-,竹内 公輔,PF/C,27:47,14,5,8,62.5%,0,0,-,4,4,100.0%,5,2,7,3,0,0,1,1,1,2,0,22
9035,12,〇,アンドリュー・ネイミック,C,17:47,3,1,2,50.0%,0,0,-,1,2,50.0%,3,2,5,0,2,1,3,0,4,1,0,8
8499,13,〇,渡邉 裕規,PG,19:51,10,4,11,36.4%,2,7,28.6%,0,0,-,0,0,0,1,1,0,0,0,2,1,0,3
8529,18,〇,鵤 誠司,PG,28:33,14,5,10,50.0%,2,6,33.3%,2,2,100.0%,1,2,3,5,1,2,2,1,2,4,0,20
8496,21,-,橋本 晃佑,PF/C,06:05,2,0,2,0.0%,0,1,0.0%,2,2,100.0%,1,0,1,1,0,0,0,0,0,2,0,2
8485,24,-,栗原 貴宏,SF,01:35,0,0,0,-,0,0,-,0,2,0.0%,0,2,2,0,0,0,0,0,0,1,0,0
8504,30,-,山崎 稜,SG,11:45,7,3,5,60.0%,1,3,33.3%,0,0,-,0,1,1,0,0,1,0,0,3,1,0,7
8657,31,-,喜多川 修平,SF,08:52,4,1,3,33.3%,1,2,50.0%,1,2,50.0%,0,0,0,0,0,0,0,1,1,1,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,1,0,0,2
,,,合計,,200:00,95,35,69,50.7%,13,28,46.4%,12,17,70.6%,15,19,34,29,6,10,7,5,23,18,1,130
