id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9337,0,-,溝口 秀人,SG,24:14,18,6,10,60.0%,4,7,57.1%,2,3,66.7%,0,3,3,1,0,0,0,0,1,1,0,17
10850,1,〇,関野 剛平,SG/SF,24:28,14,3,8,37.5%,3,6,50.0%,5,5,100.0%,0,2,2,0,0,1,0,0,3,4,0,12
8614,2,-,山本 柊輔,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8507,8,〇,多嶋 朝飛,PG,28:32,9,4,12,33.3%,1,5,20.0%,0,0,-,2,0,2,6,4,1,0,0,4,0,0,6
8508,9,-,折茂 武彦,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8597,10,-,市岡 ショーン,PF,06:10,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,1,1,0,0,0,0,0,0
8509,11,〇,桜井 良太,SF,22:09,3,1,5,20.0%,0,3,0.0%,1,2,50.0%,0,1,1,4,2,2,0,1,1,1,0,3
18396,13,〇,デイビッド・ドブラス,C,33:47,14,6,12,50.0%,0,0,-,2,3,66.7%,5,10,15,5,1,0,0,0,3,4,0,26
12595,15,〇,マーク・トラソリーニ,PF/C,33:03,14,5,15,33.3%,0,4,0.0%,4,5,80.0%,0,8,8,1,2,3,3,0,0,3,2,16
10880,17,-,川邉 亮平,SF,09:09,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,1,1,1,0,0,0,0,0,0
8512,23,-,野口 大介,PF,07:00,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,0,0,1,1,0,0,0,0,3
8513,32,-,松島 良豪,PG,11:28,0,0,0,-,0,0,-,0,0,-,1,0,1,5,1,0,0,0,3,0,0,5
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,1,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,74,26,66,39.4%,8,26,30.8%,14,18,77.8%,11,25,36,24,12,10,4,1,15,13,2,92
