id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8514,0,-,石崎 巧,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8587,1,〇,橋本 竜馬,PG,22:37,5,2,2,100.0%,1,1,100.0%,0,0,-,0,3,3,2,0,0,0,0,2,0,0,10
9489,3,〇,並里 成,PG,30:34,4,2,10,20.0%,0,1,0.0%,0,0,-,1,2,3,14,0,0,0,1,1,0,0,13
8652,6,-,金城 茂之,SG/SF,02:21,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,1,0,0,0,-1
8494,11,-,須田 侑太郎,SG/SF,22:33,6,2,3,66.7%,2,2,100.0%,0,0,-,0,2,2,4,0,1,0,0,0,0,0,12
10886,12,〇,ジェフ・エアーズ,PF,24:23,18,8,11,72.7%,0,0,-,2,2,100.0%,0,13,13,2,2,0,1,1,3,1,1,29
8655,14,-,岸本 隆一,PG/SG,08:22,3,1,4,25.0%,1,2,50.0%,0,0,-,0,3,3,1,0,0,0,0,3,1,0,4
8840,21,-,寒竹 隼人,SF/PF,09:53,3,1,4,25.0%,1,2,50.0%,0,0,-,0,1,1,0,1,0,1,0,2,0,0,1
8656,24,-,田代 直希,SF,12:25,0,0,1,0.0%,0,1,0.0%,0,0,-,0,2,2,0,0,0,1,0,1,2,0,2
12631,40,〇,ジョシュ・スコット,C,35:55,24,10,16,62.5%,0,0,-,4,5,80.0%,3,8,11,3,2,0,0,2,3,3,0,29
8500,51,〇,古川 孝敏,SF,30:57,24,9,16,56.3%,6,9,66.7%,0,0,-,0,1,1,1,0,1,0,0,4,0,0,20
