id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8462,0,〇,小林 遥太,PG,18:42,3,1,2,50.0%,1,1,100.0%,0,0,-,0,2,2,7,0,2,0,0,3,0,0,13
18166,2,〇,マーキース・カミングス,PF,37:04,26,8,13,61.5%,3,5,60.0%,7,10,70.0%,1,5,6,3,3,1,0,0,4,9,2,25
10844,3,-,満田 丈太郎,SG/SF,08:06,2,1,2,50.0%,0,1,0.0%,0,0,-,2,0,2,0,0,0,0,0,0,0,0,3
8479,6,-,菊池 真人,PF,04:50,3,1,4,25.0%,1,4,25.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
8738,8,〇,張本 天傑,SF/PF,12:58,0,0,4,0.0%,0,2,0.0%,0,0,-,0,1,1,0,1,0,0,0,4,0,0,-4
10815,9,〇,安藤 周人,SG,26:19,13,5,11,45.5%,2,7,28.6%,1,1,100.0%,0,3,3,4,0,0,0,0,0,2,0,14
8516,12,-,中東 泰斗,SG,23:54,10,4,6,66.7%,1,2,50.0%,1,2,50.0%,1,5,6,3,2,1,0,1,1,1,0,15
18167,13,-,笠井 康平,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8739,18,-,中務 敏宏,SG/SF,10:44,5,2,5,40.0%,1,2,50.0%,0,0,-,3,0,3,0,0,0,0,1,1,0,0,5
8517,21,-,笹山 貴哉,PG,21:18,14,5,9,55.6%,2,5,40.0%,2,2,100.0%,0,3,3,2,3,2,0,0,4,1,0,14
10817,34,〇,クレイグ・ブラッキンズ,PF/C,36:05,13,6,12,50.0%,1,3,33.3%,0,0,-,2,6,8,4,1,1,1,0,1,0,2,20
