id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9495,1,〇,ジョシュ・チルドレス,SF,34:01,11,5,19,26.3%,0,0,-,1,1,100.0%,2,10,12,2,1,1,0,0,2,3,1,11
18148,4,-,寺園 脩斗,PG,05:32,0,0,3,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-3
8727,5,〇,川嶋 勇人,SG,30:32,10,4,10,40.0%,1,3,33.3%,1,1,100.0%,1,2,3,2,2,2,1,0,1,4,0,10
8577,6,-,長谷川 智伸,SG/SF,07:58,2,1,3,33.3%,0,1,0.0%,0,0,-,0,1,1,0,0,0,0,1,0,0,0,1
8552,7,-,渡邊 翔太,PG,04:01,0,0,2,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-2
8565,8,-,太田 敦也,C,23:38,2,1,10,10.0%,0,0,-,0,0,-,3,1,4,1,3,0,0,1,2,1,0,-5
8567,11,-,岡田 慎吾,SG,11:46,0,0,2,0.0%,0,1,0.0%,0,0,-,0,2,2,0,0,0,0,1,1,1,0,0
15849,12,-,ダシルバ ヒサシ,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8568,15,〇,鈴木 達也,PG,25:13,4,2,3,66.7%,0,0,-,0,0,-,0,1,1,4,1,2,0,0,0,1,0,9
8677,21,-,菅野 翔太,SF,01:34,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
20033,22,〇,セドリック・シモンズ,PF/C,31:11,18,8,14,57.1%,0,0,-,2,2,100.0%,3,4,7,1,0,2,1,1,3,2,6,23
8571,73,〇,田渡 修人,SG,24:34,0,0,7,0.0%,0,4,0.0%,0,0,-,3,3,6,0,0,1,0,0,4,0,0,0
