id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8514,0,-,石崎 巧,PG/SG,06:28,2,1,3,33.3%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0
8587,1,-,橋本 竜馬,PG,14:51,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,1,1,0,0,0,2,0,0,-1
9489,3,〇,並里 成,PG,21:56,8,4,8,50.0%,0,0,-,0,0,-,1,2,3,7,0,2,0,1,1,0,0,16
8652,6,-,金城 茂之,SG/SF,02:35,0,0,1,0.0%,0,1,0.0%,0,0,-,0,1,1,1,0,0,0,0,0,0,0,1
8494,11,〇,須田 侑太郎,SG/SF,24:28,3,1,2,50.0%,0,1,0.0%,1,2,50.0%,0,1,1,1,1,1,0,0,3,1,0,3
10886,12,-,ジェフ・エアーズ,PF,23:16,14,6,12,50.0%,1,2,50.0%,1,1,100.0%,5,5,10,1,2,0,0,0,2,4,0,17
8655,14,-,岸本 隆一,PG/SG,17:44,12,4,9,44.4%,2,6,33.3%,2,2,100.0%,0,1,1,2,0,2,0,0,1,3,0,12
8840,21,-,寒竹 隼人,SF/PF,03:06,3,1,2,50.0%,1,2,50.0%,0,0,-,0,1,1,0,0,0,0,0,1,0,0,3
8656,24,-,田代 直希,SF,08:35,3,1,4,25.0%,1,2,50.0%,0,0,-,0,1,1,0,0,0,1,0,0,0,0,2
8452,33,〇,アイラ・ブラウン,SF/PF,20:40,7,3,7,42.9%,1,3,33.3%,0,0,-,2,6,8,3,0,0,0,1,4,2,0,14
12631,40,〇,ジョシュ・スコット,C,32:58,26,9,14,64.3%,0,0,-,8,10,80.0%,4,8,12,1,1,0,0,1,3,6,2,31
8500,51,〇,古川 孝敏,SF,23:23,13,4,9,44.4%,1,2,50.0%,4,4,100.0%,0,2,2,0,0,1,0,0,3,3,0,11
