id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8642,0,-,遥 天翼,SF,11:06,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-2
9310,5,-,山下 泰弘,PG,23:50,5,2,5,40.0%,1,3,33.3%,0,0,-,0,1,1,2,2,1,1,0,0,1,0,5
9311,6,-,小林 大祐,SG,04:35,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
9328,10,-,波多野 和也,SF/PF,11:34,10,4,7,57.1%,2,3,66.7%,0,0,-,0,2,2,0,1,0,0,1,1,0,0,8
8654,13,-,津山 尚大,PG,21:04,11,4,7,57.1%,1,4,25.0%,2,2,100.0%,0,1,1,0,2,0,0,0,1,2,0,7
10885,15,-,青木 ブレイク,PF/C,12:46,0,0,4,0.0%,0,0,-,0,0,-,0,0,0,1,0,0,2,0,2,0,0,-1
18442,17,〇,ベンジャミン・ローソン,C,27:18,14,7,12,58.3%,0,2,0.0%,0,1,0.0%,3,4,7,1,1,0,4,0,1,1,3,19
9317,24,〇,石谷 聡,PG,19:36,4,2,4,50.0%,0,1,0.0%,0,0,-,0,4,4,3,2,2,0,0,1,2,0,9
8731,31,〇,城宝 匡史,SG,23:04,5,2,7,28.6%,1,3,33.3%,0,0,-,1,1,2,2,2,1,0,1,1,1,0,3
10265,34,〇,デクスター・ピットマン,C,27:31,14,5,11,45.5%,0,0,-,4,5,80.0%,3,5,8,3,1,0,0,0,2,4,0,17
9319,41,〇,加納 誠也,SF/PF,17:36,2,1,3,33.3%,0,1,0.0%,0,0,-,0,2,2,1,1,1,0,0,0,3,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,1,4,0,1,0,0,0,0,0,0,3
,,,合計,,200:00,65,27,61,44.3%,5,17,29.4%,6,8,75.0%,10,21,31,13,15,5,7,2,9,14,3,70
