id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,-,浅野 崇史,SF,27:13,6,2,5,40.0%,1,2,50.0%,1,4,25.0%,1,2,3,3,3,1,0,0,4,4,0,4
10854,2,-,大城 侑朔,PG,06:41,4,2,2,100.0%,0,0,-,0,0,-,0,0,0,1,0,1,0,0,2,0,0,6
9241,3,〇,亀崎 光博,SF,23:42,7,3,10,30.0%,1,3,33.3%,0,0,-,3,0,3,0,0,0,0,2,4,1,0,3
18403,5,-,ウェスリー・ミッター,PG,09:13,2,1,2,50.0%,0,0,-,0,0,-,1,1,2,1,2,0,0,0,1,1,0,2
18404,11,〇,ルブライアン・ナッシュ,SF,28:55,19,5,12,41.7%,2,6,33.3%,7,9,77.8%,0,6,6,5,1,2,1,0,5,8,1,23
9254,14,〇,地久里 謙成,SF,36:18,17,7,13,53.8%,3,6,50.0%,0,1,0.0%,0,5,5,1,1,1,0,0,0,1,0,16
9261,52,〇,アレクサンダー・ジョーンズ,C,34:39,11,5,11,45.5%,0,0,-,1,4,25.0%,2,5,7,5,2,1,0,2,3,4,1,13
9262,77,〇,大金 広弥,PG,33:19,9,4,14,28.6%,1,5,20.0%,0,0,-,0,2,2,1,1,3,0,1,3,0,0,4
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,2,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,75,29,69,42.0%,8,22,36.4%,9,18,50.0%,11,23,34,17,10,9,1,5,22,19,2,77
