id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18435,1,〇,デンゼル・ボウルズ,PF,33:36,22,9,17,52.9%,0,0,-,4,4,100.0%,3,7,10,2,1,0,0,0,3,6,3,25
8472,2,-,八幡 圭祐,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8845,3,〇,ライアン・リード,PF,30:04,16,8,16,50.0%,0,2,0.0%,0,0,-,1,6,7,5,4,0,1,1,1,0,0,17
8478,5,-,柳川 龍之介,SF,27:05,2,1,5,20.0%,0,4,0.0%,0,0,-,0,2,2,1,4,1,0,0,1,0,0,-2
15750,6,〇,木田 貴明,SF,18:24,8,3,8,37.5%,0,4,0.0%,2,3,66.7%,0,2,2,1,1,2,0,1,2,4,0,6
9267,7,-,井上 裕介,PF,16:20,4,2,7,28.6%,0,3,0.0%,0,0,-,1,2,3,1,3,0,0,0,2,0,0,0
8473,13,〇,本間 遼太郎,PG/SG,09:25,2,1,1,100.0%,0,0,-,0,0,-,0,3,3,0,0,1,0,0,1,1,0,6
9273,21,-,鈴木 豊,SF/PF,13:09,0,0,0,-,0,0,-,0,0,-,1,0,1,1,0,1,0,0,3,0,0,3
9244,22,-,武田 倫太郎,PG/SG,18:09,6,2,4,50.0%,1,1,100.0%,1,1,100.0%,0,0,0,3,0,1,0,1,5,2,0,8
9274,33,-,与那嶺 翼,12:26,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,1,1,0,0,0,0,0,0,-2,
9275,38,〇,井手 勇次,SG/SF,21:22,4,1,5,20.0%,0,4,0.0%,2,2,100.0%,0,4,4,3,1,0,0,0,2,2,0,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,0,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,64,27,65,41.5%,1,19,5.3%,9,10,90.0%,10,26,36,18,15,6,1,3,20,15,3,71
