id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
10824,0,〇,會田 圭佑,PG,22:18,0,0,5,0.0%,0,2,0.0%,0,0,-,0,0,0,2,2,0,0,0,1,0,0,-5
18400,2,〇,カレン・ルッソ,SF/PF,40:00,12,3,14,21.4%,0,5,0.0%,6,11,54.5%,3,9,12,2,9,3,0,0,1,9,1,4
9396,3,-,鮫島 和人,PG,12:43,5,2,2,100.0%,1,1,100.0%,0,0,-,1,1,2,2,0,0,0,0,1,0,0,9
10874,8,-,佐野 太一,PG/SG,17:38,8,3,10,30.0%,1,6,16.7%,1,1,100.0%,0,1,1,0,1,0,0,0,4,1,0,1
10299,9,-,野里 惇貴,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8742,18,〇,菅 俊男,SF,37:23,11,3,4,75.0%,1,1,100.0%,4,6,66.7%,0,6,6,5,2,1,0,0,4,4,0,18
9459,21,-,橋本 龍弥,PG,15:30,12,4,7,57.1%,2,5,40.0%,2,2,100.0%,0,3,3,3,0,1,0,0,3,1,0,16
10877,22,〇,門馬 圭二郎,SG/SF,15:59,2,0,5,0.0%,0,2,0.0%,2,4,50.0%,1,0,1,2,1,1,0,0,3,3,0,-2
18170,32,〇,臼井 弘樹,PF,25:41,11,4,8,50.0%,1,2,50.0%,2,3,66.7%,1,4,5,1,0,1,0,0,3,2,0,13
15797,39,-,船山 裕士,12:48,7,3,4,75.0%,1,2,50.0%,0,0,-,0,0,0,1,0,1,0,0,2,0,0,8,
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,5,8,0,1,0,0,0,0,0,0,7
,,,合計,,200:00,68,22,59,37.3%,7,26,26.9%,17,27,63.0%,9,29,38,18,16,8,0,0,22,20,1,69
