id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8607,0,〇,小淵 雅,PG/SG,38:12,11,5,13,38.5%,1,3,33.3%,0,0,-,1,3,4,10,3,5,0,0,3,1,0,19
8608,1,〇,トーマス・ケネディ,SF/PF,49:27,43,16,28,57.1%,4,8,50.0%,7,9,77.8%,4,5,9,1,3,3,0,0,4,8,0,39
15856,4,-,佐竹 宥哉,SF,04:13,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,1,2,0,0,-1
12500,7,〇,古牧 昌也,SG,30:44,0,0,4,0.0%,0,3,0.0%,0,0,-,1,0,1,0,0,1,0,0,0,3,0,-2
15824,8,〇,新川 敬大,SG/SF,21:18,4,2,9,22.2%,0,3,0.0%,0,0,-,3,2,5,0,0,1,0,0,3,0,0,3
8480,14,-,佐藤 文哉,PG/SG,24:38,11,4,13,30.8%,3,10,30.0%,0,0,-,0,2,2,0,0,1,0,1,0,0,0,5
9054,15,-,嶋田 基志,C,04:23,0,0,1,0.0%,0,0,-,0,0,-,1,1,2,0,0,0,0,0,2,0,0,1
9411,31,〇,アブドゥーラ・クウソー,C,26:34,17,8,11,72.7%,0,0,-,1,1,100.0%,2,6,8,3,1,1,1,0,5,2,0,26
8711,33,-,喜久山 貴一,PG,01:52,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
20035,37,-,野口 夏来,PF/C,10:28,3,1,6,16.7%,1,2,50.0%,0,0,-,1,2,3,0,1,0,3,1,1,0,0,3
8613,51,-,根東 裕隆,PG/SG,38:11,7,3,3,100.0%,1,1,100.0%,0,0,-,1,4,5,5,3,3,0,0,2,3,0,17
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,2,0,0,0,0,0,0,0
,,,合計,,250:00,96,39,90,43.3%,10,31,32.3%,8,10,80.0%,15,26,41,19,13,15,4,3,22,17,0,109
