id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8475,0,〇,佐藤 公威,SG,24:05,3,1,4,25.0%,1,2,50.0%,0,0,-,0,0,0,1,0,0,0,0,1,0,0,1
8665,1,-,和田 保彦,PG/SG,03:21,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,0,1,0,0,0,1,0,0,-1
8532,6,〇,北川 弘,PG,31:02,8,3,5,60.0%,2,3,66.7%,0,0,-,0,2,2,5,0,2,0,1,4,0,0,15
8531,7,-,坂田 央,SF,08:43,0,0,2,0.0%,0,0,-,0,0,-,0,0,0,1,1,0,0,0,3,1,0,-2
18432,8,〇,グレゴリー・エチェニケ,C,32:10,11,3,4,75.0%,0,0,-,5,8,62.5%,3,6,9,8,5,1,0,0,4,6,0,20
15756,13,-,阿部 諒,SG,18:35,8,3,5,60.0%,2,3,66.7%,0,0,-,1,2,3,1,0,2,0,0,0,0,0,12
8683,18,〇,相馬 卓弥,SG,34:14,18,7,17,41.2%,2,6,33.3%,2,2,100.0%,3,4,7,7,2,2,0,1,3,3,0,22
9283,22,-,小阪 彰久,PF,10:33,3,1,3,33.3%,0,0,-,1,1,100.0%,2,0,2,1,1,0,0,1,2,1,0,3
18433,25,〇,ロスコ・アレン,SF,35:31,34,13,21,61.9%,2,4,50.0%,6,8,75.0%,2,7,9,5,3,2,1,1,1,7,0,38
8702,50,-,梅津 大介,01:46,1,0,0,-,0,0,-,1,2,50.0%,1,0,1,0,0,0,0,0,1,1,0,1,
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,2,0,0,0,0,0,0,0
,,,合計,,200:00,86,31,62,50.0%,9,18,50.0%,15,21,71.4%,12,24,36,29,15,9,1,4,20,19,0,109
