id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8598,3,-,俊野 達彦,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9392,5,〇,ダニエル・ミラー,C,35:55,18,9,17,52.9%,0,1,0.0%,0,0,-,4,9,13,5,3,0,3,1,4,1,0,28
10263,7,〇,澤邉 圭太,SG,32:11,11,3,10,30.0%,2,5,40.0%,3,4,75.0%,0,2,2,3,3,2,0,2,4,7,0,7
9268,8,〇,月野 雅人,PG,36:35,3,1,3,33.3%,1,2,50.0%,0,0,-,0,4,4,3,1,0,0,0,1,0,0,7
8469,10,-,菅澤 紀行,PF,08:44,6,2,3,66.7%,2,3,66.7%,0,0,-,0,0,0,0,0,0,0,0,1,0,0,5
15832,11,-,白戸 大聖,SG,17:46,5,2,8,25.0%,0,1,0.0%,1,2,50.0%,0,2,2,2,1,0,0,0,1,1,0,1
9454,12,〇,泉 秀岳,SF,07:34,0,0,0,-,0,0,-,0,0,-,0,0,0,0,2,0,0,0,4,1,0,-2
15833,22,-,宮本 滉希,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8838,32,-,安部 潤,PG/SG,21:15,14,5,6,83.3%,3,4,75.0%,1,3,33.3%,2,2,4,1,0,1,0,0,2,1,0,17
9382,33,〇,ジェロウム・ティルマン,PF,40:00,20,6,16,37.5%,1,3,33.3%,7,8,87.5%,2,7,9,3,0,2,0,2,1,8,0,23
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,1,3,0,1,0,0,0,0,0,0,2
,,,合計,,200:00,77,28,63,44.4%,9,19,47.4%,12,17,70.6%,10,27,37,17,11,5,3,5,18,19,0,88
