id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
15852,0,〇,ジャマリ・トレイラー,PF/C,29:23,25,11,15,73.3%,1,1,100.0%,2,3,66.7%,1,7,8,5,3,0,2,1,4,3,1,32
8615,1,-,村上 駿斗,PG/SG,16:43,4,2,5,40.0%,0,3,0.0%,0,0,-,0,5,5,4,1,0,0,0,4,0,0,9
8534,2,〇,朝山 正悟,SG/SF,19:08,4,2,6,33.3%,0,2,0.0%,0,0,-,0,0,0,1,2,0,0,0,3,0,0,-1
8839,3,〇,岡本 飛竜,PG,25:42,6,3,8,37.5%,0,1,0.0%,0,0,-,1,0,1,7,2,1,0,0,2,0,0,8
20016,4,〇,ターレル・ミラー,PF/C,29:37,9,3,12,25.0%,1,6,16.7%,2,2,100.0%,2,6,8,7,0,2,1,0,1,2,0,18
8471,5,-,佐藤 優樹,SG,07:31,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,3
8723,7,-,坂本 ジェイ,PF/C,14:08,5,2,7,28.6%,0,0,-,1,2,50.0%,1,4,5,0,1,0,1,1,0,4,0,4
10871,9,-,小澤 智将,SG,19:15,2,1,5,20.0%,0,2,0.0%,0,0,-,0,1,1,4,1,1,0,0,1,1,0,3
8537,10,-,坂井 レオ,PF/C,06:52,4,2,2,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,4
8454,13,-,山田 謙治,PG,09:12,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,1,1,0,0,1,0,1,0,-2
8528,24,〇,田中 成也,SG,22:29,11,5,10,50.0%,1,4,25.0%,0,0,-,1,2,3,0,2,1,1,0,1,1,0,9
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,0,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,72,32,73,43.8%,3,20,15.0%,5,7,71.4%,10,26,36,29,13,5,5,3,18,12,1,91
