id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9336,0,〇,大澤 歩,PG,24:18,2,1,3,33.3%,0,0,-,0,0,-,0,1,1,5,1,0,0,0,3,2,0,5
9388,2,〇,レジナルド・ウォーレン,PF/C,31:39,24,10,21,47.6%,1,6,16.7%,3,6,50.0%,8,11,19,5,1,1,0,0,1,5,0,34
8618,6,-,藤岡 昂希,SF,09:15,3,1,2,50.0%,1,1,100.0%,0,2,0.0%,0,1,1,1,0,0,0,0,5,3,0,2
8710,7,-,堀川 竜一,SF,18:12,1,0,4,0.0%,0,3,0.0%,1,2,50.0%,0,0,0,3,0,0,0,0,1,3,0,-1
12605,14,〇,高比良 寛治,SG/SF,21:31,17,7,12,58.3%,2,4,50.0%,1,1,100.0%,0,0,0,1,1,0,0,0,4,1,0,12
9077,17,-,石川 智也,PG,11:45,0,0,0,-,0,0,-,0,0,-,1,3,4,0,1,0,0,0,1,0,0,3
10836,20,-,安部 瑞基,SG,17:21,5,2,6,33.3%,1,4,25.0%,0,0,-,1,0,1,1,0,0,0,0,1,0,0,3
10831,30,〇,テレンス・ウッドベリー,SG/SF,28:19,18,8,10,80.0%,1,2,50.0%,1,2,50.0%,0,9,9,4,3,2,0,0,2,2,0,27
9346,41,〇,高田 秀一,SF/PF,12:43,5,2,5,40.0%,0,0,-,1,4,25.0%,1,1,2,0,1,2,0,0,2,3,0,2
8744,88,-,木村 啓太郎,PG,24:57,12,4,7,57.1%,3,3,100.0%,1,2,50.0%,1,3,4,1,0,5,0,0,1,3,0,18
