id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,〇,浅野 崇史,SF,24:07,0,0,3,0.0%,0,0,-,0,2,0.0%,1,2,3,1,2,0,0,0,1,2,0,-3
8603,1,-,夏 達維,SG/SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10854,2,-,大城 侑朔,PG,13:38,7,3,7,42.9%,1,3,33.3%,0,0,-,1,0,1,0,0,0,0,0,1,0,0,4
9241,3,〇,亀崎 光博,SF,30:13,7,3,6,50.0%,0,0,-,1,1,100.0%,1,1,2,2,1,0,0,1,1,1,0,7
18403,5,-,ウェスリー・ミッター,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8732,9,-,岡田 優,SG,25:47,8,3,6,50.0%,0,0,-,2,2,100.0%,1,2,3,1,1,0,0,0,2,1,0,8
18843,23,〇,クリーアンソニー・アーリー,SF,38:16,27,10,20,50.0%,4,9,44.4%,3,3,100.0%,0,11,11,3,3,3,0,1,4,4,1,31
18458,24,〇,ディアンジェロ・カークランド,31:33,10,2,12,16.7%,1,3,33.3%,5,6,83.3%,6,6,12,6,1,2,0,4,3,3,0,18,
18462,39,-,福田 幹也,SF/PF,03:39,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
9262,77,〇,大金 広弥,PG,32:47,16,7,12,58.3%,2,5,40.0%,0,0,-,1,1,2,0,1,0,0,0,2,4,0,12
