id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8836,0,〇,山本 エドワード,PG,15:54,7,3,4,75.0%,1,1,100.0%,0,0,-,0,1,1,6,2,0,0,0,3,0,0,11
12597,1,-,宮崎 恭行,PG,22:04,8,3,6,50.0%,2,4,50.0%,0,0,-,1,3,4,11,5,0,0,0,1,0,0,15
8527,5,-,伊藤 大,SG,10:23,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,0,0,0,0,0,1,1,0,-2
15853,12,〇,野崎 零也,SG,16:13,5,1,2,50.0%,1,2,50.0%,2,2,100.0%,0,0,0,0,3,0,0,0,2,2,0,1
9218,14,〇,兒玉 貴通,PG,17:56,3,1,5,20.0%,1,2,50.0%,0,0,-,0,1,1,4,0,2,0,1,4,1,0,6
8523,16,-,坂本 健,PF,11:17,5,2,3,66.7%,0,0,-,1,2,50.0%,1,3,4,0,0,0,0,0,1,2,0,7
8550,18,-,飛田 浩明,SG/SF,13:24,5,2,4,50.0%,1,3,33.3%,0,0,-,1,0,1,3,0,0,0,0,3,0,0,7
12598,24,〇,ジョシュ・ホーキンソン,PF/C,32:13,30,13,19,68.4%,2,5,40.0%,2,3,66.7%,3,5,8,2,0,3,0,0,0,5,0,36
12641,41,〇,ギャレット・スタツ,C,28:26,22,10,12,83.3%,0,0,-,2,2,100.0%,1,10,11,7,1,0,1,0,1,3,0,38
15759,42,-,伊藤 大和,PG/SG,24:06,8,3,7,42.9%,2,4,50.0%,0,0,-,0,0,0,3,1,0,0,1,1,1,0,6
9353,88,-,高村 成寿,PF,08:04,6,1,3,33.3%,1,1,100.0%,3,3,100.0%,1,1,2,0,0,0,0,0,0,1,0,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,9,10,0,0,0,0,0,0,0,0,10
,,,合計,,200:00,99,39,67,58.2%,11,24,45.8%,10,12,83.3%,9,33,42,36,12,5,1,2,17,16,0,141
