id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8725,0,〇,楯 昌宗,PG,25:02,5,2,5,40.0%,0,2,0.0%,1,2,50.0%,0,1,1,3,1,0,0,0,2,2,0,4
9314,2,〇,堤 啓士朗,PG,20:13,6,3,5,60.0%,0,0,-,0,0,-,0,1,1,2,1,1,0,0,3,1,0,7
9086,8,-,加藤 悠三,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9413,9,-,矢代 雪次郎,PG/SG,05:08,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,1,0,1,0,0,1,1,0,0
9433,10,〇,アンドリュー・フィッツジェラルド,PF/C,34:55,21,7,20,35.0%,0,0,-,7,8,87.5%,3,8,11,5,3,1,1,0,4,4,0,22
9402,12,-,藤田 浩司,SF,06:25,2,1,1,100.0%,0,0,-,0,0,-,0,1,1,0,1,0,0,0,0,0,0,2
8757,13,-,小原 良公,PG/SG,16:38,7,3,4,75.0%,0,0,-,1,3,33.3%,0,1,1,0,1,0,0,0,1,4,0,4
8766,16,〇,笠原 太志,SF/PF,35:29,14,6,8,75.0%,2,3,66.7%,0,0,-,1,3,4,3,6,0,0,0,4,0,0,13
15751,30,〇,ラキーム・ジャクソン,SF,27:42,16,7,14,50.0%,0,2,0.0%,2,2,100.0%,4,2,6,2,0,1,1,0,3,3,0,19
8600,31,-,岡本 将大,PG,08:14,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,1,1,0,1
8842,32,-,高畠 佳介,SG,20:14,12,4,8,50.0%,2,6,33.3%,2,3,66.7%,0,2,2,1,2,1,0,0,1,3,0,9
