id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8607,0,〇,小淵 雅,PG/SG,20:38,2,1,2,50.0%,0,1,0.0%,0,0,-,0,5,5,4,0,0,0,0,0,1,0,10
8608,1,〇,トーマス・ケネディ,SF/PF,35:25,48,14,24,58.3%,7,13,53.8%,13,13,100.0%,3,9,12,5,2,0,0,0,3,9,0,53
15856,4,-,佐竹 宥哉,SF,13:00,5,2,3,66.7%,1,2,50.0%,0,0,-,0,1,1,1,0,0,0,0,1,0,0,6
12500,7,〇,古牧 昌也,SG,19:19,14,6,8,75.0%,1,3,33.3%,1,2,50.0%,2,1,3,1,1,0,0,0,2,2,0,14
15824,8,〇,新川 敬大,SG/SF,20:02,6,2,2,100.0%,2,2,100.0%,0,0,-,1,2,3,2,2,1,0,0,2,0,0,10
8609,11,-,藤原 隆充,PG/SG,03:55,5,1,2,50.0%,1,1,100.0%,2,2,100.0%,0,0,0,0,0,0,0,0,0,1,0,4
8480,14,-,佐藤 文哉,PG/SG,14:35,11,4,10,40.0%,3,9,33.3%,0,0,-,0,3,3,1,2,0,0,0,2,0,0,7
9054,15,-,嶋田 基志,C,04:49,2,1,3,33.3%,0,0,-,0,0,-,1,2,3,1,0,0,0,0,1,0,0,4
9411,31,〇,アブドゥーラ・クウソー,C,27:55,10,3,11,27.3%,0,0,-,4,4,100.0%,2,5,7,5,4,2,1,1,3,2,0,13
8711,33,-,喜久山 貴一,PG,15:15,3,1,1,100.0%,1,1,100.0%,0,0,-,2,3,5,4,0,0,0,0,2,1,0,12
20035,37,-,野口 夏来,PF/C,12:45,0,0,1,0.0%,0,1,0.0%,0,0,-,1,1,2,1,1,0,1,0,2,0,0,2
8613,51,-,根東 裕隆,PG/SG,12:22,0,0,2,0.0%,0,0,-,0,0,-,1,0,1,2,1,2,0,0,4,2,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,3,6,0,1,0,0,0,0,0,0,5
,,,合計,,200:00,106,35,69,50.7%,16,33,48.5%,20,21,95.2%,16,35,51,27,14,5,2,1,22,18,0,142
