id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9249,0,〇,浅野 崇史,SF,35:18,15,6,8,75.0%,3,3,100.0%,0,2,0.0%,2,4,6,2,1,3,2,0,5,3,0,23
8603,1,-,夏 達維,SG/SF,01:14,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,2
10854,2,-,大城 侑朔,PG,14:58,8,2,5,40.0%,2,4,50.0%,2,4,50.0%,2,0,2,0,0,1,0,0,2,2,0,6
9241,3,〇,亀崎 光博,SF,18:54,7,3,5,60.0%,1,1,100.0%,0,0,-,0,0,0,2,0,0,0,0,0,1,0,7
8732,9,-,岡田 優,SG,21:33,9,2,9,22.2%,1,4,25.0%,4,4,100.0%,0,1,1,2,2,0,0,1,1,3,0,3
9027,10,-,セオン・エディ,SG,09:55,0,0,2,0.0%,0,1,0.0%,0,0,-,1,2,3,0,1,1,0,0,3,0,0,1
9254,14,〇,地久里 謙成,SF,24:04,7,3,4,75.0%,1,2,50.0%,0,0,-,1,3,4,1,0,0,0,0,2,1,0,11
19954,22,-,ジョーダン・リチャード,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18843,23,〇,クリーアンソニー・アーリー,SF,37:40,34,13,27,48.1%,1,10,10.0%,7,8,87.5%,2,7,9,3,1,1,0,0,1,8,1,31
9262,77,〇,大金 広弥,PG,36:24,7,3,9,33.3%,1,3,33.3%,0,0,-,0,0,0,6,0,1,0,0,1,1,0,8
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,1,4,0,0,0,0,0,2,0,0,4
,,,合計,,200:00,89,33,70,47.1%,10,28,35.7%,13,18,72.2%,11,18,29,16,5,7,2,1,17,19,1,96
