id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8475,0,〇,佐藤 公威,SG,31:14,10,4,10,40.0%,2,3,66.7%,0,0,-,0,4,4,2,1,0,0,0,1,0,0,9
8665,1,-,和田 保彦,PG/SG,06:53,2,1,3,33.3%,0,1,0.0%,0,0,-,0,2,2,0,2,1,0,0,2,1,0,1
8532,6,〇,北川 弘,PG,20:28,3,1,2,50.0%,1,2,50.0%,0,0,-,0,5,5,6,1,2,0,0,2,2,0,14
8531,7,〇,坂田 央,SF,17:09,7,3,6,50.0%,1,3,33.3%,0,0,-,1,0,1,0,1,0,1,0,2,0,0,5
18432,8,〇,グレゴリー・エチェニケ,C,30:00,32,15,17,88.2%,0,0,-,2,2,100.0%,4,6,10,1,1,1,1,1,2,2,7,42
9264,11,-,後藤 翔平,PG,14:45,0,0,1,0.0%,0,1,0.0%,0,0,-,0,2,2,4,3,0,0,0,2,0,0,2
15756,13,-,阿部 諒,SG,04:45,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,-1
9283,22,-,小阪 彰久,PF,10:00,5,2,5,40.0%,0,0,-,1,2,50.0%,1,0,1,0,1,0,0,0,3,1,0,1
18174,24,-,伊集 貴也,PG,08:01,3,1,3,33.3%,1,2,50.0%,0,0,-,1,3,4,1,0,0,0,0,0,0,0,6
18433,25,〇,ロスコ・アレン,SF,35:11,27,11,17,64.7%,2,5,40.0%,3,3,100.0%,3,6,9,5,2,0,1,0,0,4,1,34
9274,33,-,与那嶺 翼,PG,21:34,8,3,9,33.3%,2,6,33.3%,0,0,-,0,2,2,9,1,0,0,0,0,0,0,12
