id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8607,0,〇,小淵 雅,PG/SG,31:38,6,3,5,60.0%,0,0,-,0,0,-,1,3,4,6,2,4,0,0,0,1,0,16
8608,1,〇,トーマス・ケネディ,SF/PF,40:00,15,7,18,38.9%,1,4,25.0%,0,0,-,2,2,4,7,2,4,1,0,2,0,2,18
15856,4,-,佐竹 宥哉,SF,16:58,2,1,3,33.3%,0,0,-,0,0,-,1,0,1,1,2,0,0,1,1,0,0,0
12500,7,〇,古牧 昌也,SG,21:47,2,1,7,14.3%,0,3,0.0%,0,0,-,2,1,3,0,1,1,1,1,0,2,0,0
8609,11,-,藤原 隆充,PG/SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8480,14,〇,佐藤 文哉,PG/SG,26:37,18,6,15,40.0%,4,11,36.4%,2,3,66.7%,0,2,2,0,3,1,0,1,1,3,0,8
9054,15,-,嶋田 基志,C,02:16,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,0,0,0,1
9411,31,〇,アブドゥーラ・クウソー,C,37:44,20,8,12,66.7%,0,0,-,4,6,66.7%,6,7,13,4,0,1,2,1,4,3,0,34
8711,33,-,喜久山 貴一,PG,02:24,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,2
20035,37,-,野口 夏来,PF/C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8613,51,-,根東 裕隆,PG/SG,20:36,2,1,8,12.5%,0,2,0.0%,0,0,-,0,1,1,4,2,4,0,2,1,2,0,2
