id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18435,1,〇,デンゼル・ボウルズ,PF,34:00,23,8,16,50.0%,0,0,-,7,9,77.8%,4,12,16,2,3,0,2,0,3,10,1,30
8472,2,-,八幡 圭祐,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8845,3,〇,ライアン・リード,PF,30:39,12,6,15,40.0%,0,2,0.0%,0,0,-,1,5,6,1,0,2,0,1,4,2,0,12
8478,5,〇,柳川 龍之介,SF,27:46,14,6,10,60.0%,0,1,0.0%,2,2,100.0%,0,2,2,3,0,0,0,0,5,1,0,15
15750,6,〇,木田 貴明,SF,22:49,6,2,6,33.3%,0,3,0.0%,2,3,66.7%,0,4,4,1,1,1,0,0,3,3,0,6
9267,7,-,井上 裕介,PF,12:09,5,2,5,40.0%,1,2,50.0%,0,0,-,0,1,1,1,0,0,0,0,3,0,0,4
8473,13,-,本間 遼太郎,PG/SG,21:47,3,1,3,33.3%,1,3,33.3%,0,0,-,0,0,0,2,2,0,0,0,2,0,0,1
9244,22,〇,武田 倫太郎,PG/SG,21:04,2,1,3,33.3%,0,0,-,0,0,-,2,1,3,3,3,0,0,1,2,2,0,3
9275,38,-,井手 勇次,SG/SF,20:04,14,5,10,50.0%,2,5,40.0%,2,2,100.0%,1,2,3,3,2,0,0,0,2,2,0,13
8702,50,-,梅津 大介,SF,03:12,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12662,72,-,風間 直樹,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
22402,78,-,秋山 皓太,SG/SF,06:30,3,1,1,100.0%,1,1,100.0%,0,0,-,1,0,1,1,0,0,0,0,0,0,0,5
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,1,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,82,32,69,46.4%,5,17,29.4%,13,16,81.3%,12,28,40,17,11,3,2,2,24,20,1,93
