id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18469,0,〇,シェルトン・ボイキン,38:57,25,11,20,55.0%,2,6,33.3%,1,2,50.0%,2,16,18,6,2,0,0,1,2,0,0,37,
9406,2,-,玉田 博人,11:20,2,1,3,33.3%,0,0,-,0,0,-,0,1,1,0,1,0,0,0,1,0,0,0,
8543,6,〇,館山 健太,23:57,12,4,10,40.0%,2,6,33.3%,2,2,100.0%,0,0,0,5,3,2,0,0,2,0,0,10,
9401,10,〇,林 亮太,31:33,16,5,11,45.5%,2,6,33.3%,4,4,100.0%,0,1,1,2,2,2,0,0,3,0,0,13,
20030,11,-,比屋根 貴也,05:54,3,1,2,50.0%,1,1,100.0%,0,0,-,1,1,2,1,0,0,0,0,1,0,0,5,
12649,29,-,赤塚 将輝,05:06,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,1,
9409,41,〇,松崎 圭介,22:14,9,3,6,50.0%,3,5,60.0%,0,0,-,1,2,3,0,0,1,0,0,2,0,0,10,
12660,50,〇,ジージオ・ベイン,34:47,16,7,16,43.8%,0,0,-,2,2,100.0%,5,5,10,1,1,0,0,1,3,0,0,17,
18425,59,-,福田 惟吹,06:24,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1,
15842,77,-,川上 貴一,19:48,5,1,3,33.3%,1,3,33.3%,2,2,100.0%,0,2,2,0,0,0,0,0,0,0,0,5,
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,3,3,6,0,1,0,0,0,0,0,0,5
,,,合計,,200:00,88,33,72,45.8%,11,27,40.7%,11,12,91.7%,12,32,44,15,10,5,0,2,15,0,0,102
