id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9213,2,-,坂本 裕基,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9214,3,-,横塚 螢,SG,10:46,8,2,5,40.0%,2,4,50.0%,2,2,100.0%,0,3,3,0,0,1,0,1,0,0,0,9
18411,4,-,井上 貴志,PG,01:45,2,1,1,100.0%,0,0,-,0,0,-,0,2,2,1,0,0,0,0,0,0,0,5
9215,7,-,塩塚 直人,SF,04:20,0,0,3,0.0%,0,3,0.0%,0,0,-,1,1,2,1,0,0,0,0,0,0,0,0
9217,13,-,西片 翼,SF,03:54,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9219,16,〇,鮫島 宗一郎,SF,15:38,2,1,3,33.3%,0,2,0.0%,0,0,-,0,2,2,3,2,0,0,0,0,0,0,3
9220,17,-,田村 晋,PF,11:46,0,0,1,0.0%,0,0,-,0,0,-,1,2,3,2,0,0,0,0,2,0,0,4
9258,22,-,鳴海 亮,PG,25:42,2,1,3,33.3%,0,2,0.0%,0,0,-,2,1,3,0,2,2,0,0,1,0,0,3
9316,23,〇,ジョシュ・ペッパーズ,PF,30:47,23,9,15,60.0%,1,3,33.3%,4,4,100.0%,1,5,6,5,4,2,0,0,2,0,0,26
9222,30,〇,村田 翔,SF,08:38,0,0,1,0.0%,0,0,-,0,0,-,0,2,2,0,0,0,0,0,1,0,0,1
9223,32,-,長谷川 武,PF,08:39,3,1,3,33.3%,0,0,-,1,2,50.0%,1,1,2,0,3,1,0,0,1,0,0,0
9418,33,-,ルーク・エヴァンス,PF,16:50,9,4,5,80.0%,0,0,-,1,4,25.0%,3,1,4,1,1,1,0,0,3,0,0,10
9435,34,〇,カイル・リチャードソン,PF,32:23,20,6,11,54.5%,0,0,-,8,9,88.9%,0,8,8,2,3,1,0,0,2,0,0,22
12658,49,〇,飯田 鴻朗,PG,16:52,4,2,6,33.3%,0,1,0.0%,0,0,-,0,2,2,4,1,1,0,2,1,0,0,6
10259,55,-,小林 礼秧,PF,12:00,6,3,7,42.9%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,0,0,3
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,3,5,0,1,0,0,0,0,0,0,4
,,,合計,,200:00,79,30,64,46.9%,3,15,20.0%,16,21,76.2%,11,33,44,20,17,9,0,3,13,0,0,96
