id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18414,3,-,園田 大祐,SF,13:20,2,1,7,14.3%,0,3,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-4
9458,6,〇,ビンゴ・メリエックス,PF,31:50,7,3,13,23.1%,1,4,25.0%,0,2,0.0%,3,5,8,4,3,0,0,1,3,0,0,4
18415,8,〇,田中 昌寛,SG,26:53,2,1,10,10.0%,0,3,0.0%,0,0,-,0,1,1,1,1,1,0,0,2,0,0,-5
18416,10,-,犬飼 啓介,PF,08:10,0,0,1,0.0%,0,0,-,0,0,-,2,2,4,0,0,0,0,0,1,0,0,3
9234,16,〇,伊藤 良太,PG,31:02,14,4,9,44.4%,2,3,66.7%,4,4,100.0%,0,4,4,0,1,5,0,0,5,0,0,17
18419,17,-,杉本 憲男,SG,29:13,11,4,10,40.0%,3,9,33.3%,0,0,-,0,0,0,0,1,2,0,0,1,0,0,6
18420,18,-,山田 洋介,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18421,25,-,中野 大介,PF,03:51,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-1
18422,33,〇,杉本 慎太郎,PG,19:32,6,2,4,50.0%,1,2,50.0%,1,1,100.0%,1,2,3,1,1,0,0,0,2,0,0,7
18456,44,〇,マイケル・アリソン,C,36:09,23,9,21,42.9%,1,4,25.0%,4,5,80.0%,6,7,13,2,2,1,4,1,1,0,0,28
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,4,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,65,24,75,32.0%,8,28,28.6%,9,12,75.0%,14,25,39,8,10,9,4,2,15,0,0,61
