id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
12616,1,〇,後藤 宏太,PG,27:39,12,5,10,50.0%,2,6,33.3%,0,0,-,0,1,1,1,0,1,0,0,1,0,0,10
9227,3,〇,吉川 治瑛,PG,24:28,12,5,8,62.5%,2,3,66.7%,0,0,-,0,3,3,4,0,0,1,0,1,0,0,17
9448,8,〇,アンドレ・マレー,PG,33:12,10,3,14,21.4%,1,8,12.5%,3,5,60.0%,1,7,8,3,4,2,1,0,4,0,0,7
18476,10,-,北代 智樹,SF,04:58,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9467,14,-,髙山 竜之介,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9468,16,〇,船橋 健吾,SF,32:09,12,5,13,38.5%,2,5,40.0%,0,0,-,1,4,5,2,1,0,0,0,3,0,0,10
8602,20,-,一色 翔太,SG,11:04,3,0,4,0.0%,0,0,-,3,3,100.0%,0,0,0,1,0,0,0,0,2,0,0,0
9469,23,-,黒木 亮,PF,14:14,0,0,2,0.0%,0,0,-,0,0,-,1,1,2,0,1,1,0,0,3,0,0,0
12657,24,〇,ブライアン・シンプソン,C,34:37,21,7,10,70.0%,1,1,100.0%,6,10,60.0%,1,8,9,1,3,0,0,0,4,0,0,21
9470,27,-,桑原 竜馬,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9235,30,-,日退 駿,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18477,41,-,濱西 秀人,SF,11:36,3,1,5,20.0%,1,3,33.3%,0,0,-,0,1,1,2,1,1,0,0,0,0,0,2
9236,60,-,神門 千郎,C,04:06,2,1,1,100.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,2
9471,76,-,佐藤 雄人,SG,01:57,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,0,0,1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,4,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,75,27,67,40.3%,9,26,34.6%,12,18,66.7%,4,30,34,14,10,5,2,0,19,0,0,74
