id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8546,6,〇,長澤 健司,SG,17:22,3,1,2,50.0%,0,1,0.0%,1,2,50.0%,0,0,0,1,0,0,0,0,3,0,0,2
8548,9,-,長谷川 凌,PF,11:30,0,0,2,0.0%,0,1,0.0%,0,0,-,1,1,2,1,0,0,0,0,0,0,0,1
9257,11,〇,上松 大輝,SF,16:45,6,2,3,66.7%,2,2,100.0%,0,0,-,0,1,1,1,1,0,0,0,0,0,0,6
9420,13,〇,ライアン・ステファン,C,28:46,19,9,19,47.4%,1,5,20.0%,0,0,-,2,14,16,1,4,1,0,0,1,0,0,23
18449,17,-,小林 和世,SG,03:13,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,1,0,0,1
8707,23,-,齋藤 豊,SF,12:07,3,1,3,33.3%,1,2,50.0%,0,0,-,1,2,3,0,0,0,0,0,0,0,0,4
9243,30,-,佐野 隆司,SF,15:44,7,3,6,50.0%,1,3,33.3%,0,0,-,0,2,2,2,0,0,0,0,0,0,0,8
8708,33,-,宮田 諭,PG,20:39,12,5,7,71.4%,0,0,-,2,2,100.0%,2,1,3,5,1,1,0,0,1,0,0,18
12648,40,〇,ジョーダン・フェイゾン,C,28:42,17,8,16,50.0%,0,1,0.0%,1,1,100.0%,3,12,15,4,4,0,1,0,2,0,0,25
10891,41,-,小倉 渓,PF,05:49,2,1,2,50.0%,0,1,0.0%,0,1,0.0%,0,3,3,0,0,0,0,0,0,0,0,3
12601,44,-,丹野 合気,PG,23:15,9,3,8,37.5%,1,4,25.0%,2,2,100.0%,0,3,3,1,3,1,0,1,0,0,0,6
9365,51,〇,田口 暖,PG,16:08,0,0,3,0.0%,0,2,0.0%,0,0,-,0,1,1,1,0,3,0,0,0,0,0,2
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,78,33,71,46.5%,6,22,27.3%,6,8,75.0%,10,41,51,17,13,7,1,1,8,0,0,101
