id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8706,2,-,椎名 雄大,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8546,6,〇,長澤 健司,SG,14:37,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,2,0,0,0,2,0,0,-3
8548,9,-,長谷川 凌,PF,06:55,4,2,2,100.0%,0,0,-,0,0,-,0,3,3,0,1,1,0,0,0,0,0,7
9257,11,〇,上松 大輝,SF,05:42,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,0,3,0,2,0,0,0,0,-1
9420,13,〇,ライアン・ステファン,C,33:05,37,14,19,73.7%,0,2,0.0%,9,11,81.8%,3,8,11,3,1,2,1,0,0,0,0,46
18449,17,-,小林 和世,SG,06:36,0,0,2,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,1,1,0,0,-2
8707,23,-,齋藤 豊,SF,23:01,8,2,7,28.6%,2,7,28.6%,2,2,100.0%,0,1,1,4,2,1,1,0,1,0,0,8
9243,30,-,佐野 隆司,SF,08:55,3,1,3,33.3%,1,3,33.3%,0,0,-,0,1,1,2,0,0,0,0,0,0,0,4
8708,33,-,宮田 諭,PG,26:26,14,6,9,66.7%,0,1,0.0%,2,2,100.0%,0,4,4,6,3,1,1,0,1,0,0,20
12648,40,〇,ジョーダン・フェイゾン,C,33:05,20,8,11,72.7%,0,0,-,4,4,100.0%,5,6,11,7,5,2,1,0,3,0,0,33
10891,41,-,小倉 渓,PF,02:30,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
12601,44,-,丹野 合気,PG,23:36,10,4,11,36.4%,2,7,28.6%,0,0,-,2,1,3,1,1,1,0,1,2,0,0,7
9365,51,〇,田口 暖,PG,15:32,3,1,4,25.0%,1,3,33.3%,0,0,-,1,2,3,3,0,0,0,0,3,0,0,6
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0,2
,,,合計,,200:00,99,38,71,53.5%,6,25,24.0%,17,19,89.5%,11,29,40,26,18,8,6,2,13,0,0,126
