id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9214,3,〇,横塚 蛍,SG,18:42,8,4,5,80.0%,0,0,-,0,0,-,1,3,4,0,0,2,0,0,1,0,0,13
18411,4,-,井上 貴志,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9215,7,-,塩塚 直人,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9216,10,-,谷尾 俊紀,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9217,13,-,西片 翼,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9219,16,-,鮫島 宗一郎,SF,15:33,6,2,5,40.0%,2,3,66.7%,0,0,-,0,1,1,1,0,1,0,0,0,0,0,6
9220,17,-,田村 晋,PF,07:39,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,1
9258,22,〇,鳴海 亮,PG,25:03,0,0,4,0.0%,0,2,0.0%,0,0,-,1,0,1,4,1,0,0,0,3,0,0,0
9316,23,〇,ジョシュ・ペッパーズ,PF,28:13,16,5,13,38.5%,0,0,-,6,8,75.0%,1,5,6,10,1,3,1,2,2,0,0,25
9222,30,-,村田 翔,SF,04:35,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-1
9418,33,-,ルーク・エヴァンス,PF,17:39,12,5,9,55.6%,1,2,50.0%,1,4,25.0%,2,3,5,1,2,1,0,0,2,0,0,10
9435,34,〇,カイル・リチャードソン,PF,34:08,30,13,19,68.4%,0,0,-,4,6,66.7%,5,9,14,1,2,2,0,1,1,0,0,37
12658,49,-,飯田 鴻朗,PG,12:38,2,1,1,100.0%,0,0,-,0,0,-,0,3,3,1,1,0,0,0,1,0,0,5
10259,55,-,小林 礼秧,PF,10:14,2,1,3,33.3%,0,2,0.0%,0,0,-,0,0,0,1,0,0,0,0,2,0,0,1
8648,91,〇,落合 知也,PF,25:36,10,4,11,36.4%,1,4,25.0%,1,1,100.0%,1,4,5,0,1,0,0,0,4,0,0,7
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,1,0,0,0,0,0,0,2
,,,合計,,200:00,88,36,73,49.3%,4,14,28.6%,12,19,63.2%,12,30,42,19,9,9,1,3,17,0,0,106
