id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9238,0,-,佐藤 優樹,PG,00:51,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,-1
8675,1,〇,野上 淳史,SG,31:54,10,3,8,37.5%,1,3,33.3%,3,4,75.0%,0,4,4,0,4,1,0,0,1,0,0,5
12619,2,-,山口 健大,SF,01:39,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-2
9246,3,〇,高橋 幸大,SG,29:12,9,4,6,66.7%,1,2,50.0%,0,0,-,2,2,4,3,7,0,0,0,2,0,0,7
9252,6,〇,金井 賢治,PF,19:32,2,1,3,33.3%,0,1,0.0%,0,2,0.0%,0,0,0,2,0,1,0,0,4,0,0,1
12620,7,-,大野 陽平,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9339,9,-,坂井 耀平,PG,01:03,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12599,14,-,冨岡 大地,PG,12:05,0,0,3,0.0%,0,2,0.0%,0,0,-,0,1,1,2,1,2,0,0,0,0,0,1
8553,19,-,中村 友也,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9434,20,-,ジョセフ・ウォルフィンガー,C,20:15,11,4,4,100.0%,0,0,-,3,3,100.0%,2,5,7,3,0,0,0,0,3,0,0,21
9325,23,-,佐々木 優希,SF,23:44,11,4,8,50.0%,3,4,75.0%,0,0,-,1,2,3,3,0,0,0,0,1,0,0,13
18412,25,-,田中 幸之介,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12607,31,〇,クリストファー・オリビエ,C,33:01,19,8,15,53.3%,0,0,-,3,5,60.0%,1,6,7,2,2,0,3,1,2,0,0,20
15754,43,〇,エルハジ・イブラヒマ・セック,PF,26:44,12,4,12,33.3%,3,9,33.3%,1,2,50.0%,1,3,4,3,2,1,0,0,5,0,0,9
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,5,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,74,28,62,45.2%,8,22,36.4%,10,16,62.5%,8,28,36,18,16,5,3,1,19,0,0,80
