id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9227,3,-,吉川 治瑛,PG,14:12,3,1,5,20.0%,1,2,50.0%,0,0,-,0,1,1,4,0,1,0,0,1,0,0,5
9448,8,〇,アンドレ・マレー,PG,37:40,32,11,24,45.8%,6,12,50.0%,4,6,66.7%,2,4,6,4,4,2,1,2,4,0,0,26
18476,10,〇,北代 智樹,SF,24:23,12,5,9,55.6%,0,2,0.0%,2,3,66.7%,2,1,3,1,2,0,0,0,0,0,0,9
9467,14,-,髙山 竜之介,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9468,16,〇,船橋 健吾,SF,28:59,8,2,9,22.2%,2,5,40.0%,2,2,100.0%,2,2,4,2,1,3,0,0,4,0,0,9
8602,20,-,一色 翔太,SG,03:44,0,0,1,0.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-2
9469,23,〇,黒木 亮,PF,10:48,0,0,3,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,1,0,2,0,0,-2
12657,24,-,ブライアン・シンプソン,C,26:33,11,5,8,62.5%,0,0,-,1,6,16.7%,1,8,9,3,3,1,0,0,2,0,0,13
9470,27,-,桑原 竜馬,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9235,30,-,日退 駿,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18477,41,〇,濱西 秀人,SF,36:16,20,9,15,60.0%,2,4,50.0%,0,0,-,1,5,6,5,3,3,0,0,4,0,0,25
9236,60,-,神門 千郎,C,02:39,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,2,0,0,0
9471,76,-,佐藤 雄人,SG,14:46,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,1,1,0,3,0,0,4
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,5,1,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,86,33,74,44.6%,11,26,42.3%,9,17,52.9%,13,24,37,20,15,11,3,2,22,0,0,93
