id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18413,1,-,小澤 友教,PG,01:05,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18414,3,-,園田 大祐,SF,05:41,2,1,2,50.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,1,0,0,0
9458,6,〇,ビンゴ・メリエックス,PF,33:36,12,5,12,41.7%,2,5,40.0%,0,0,-,1,7,8,3,4,0,1,0,1,0,0,13
18415,8,〇,田中 昌寛,SG,31:09,13,5,12,41.7%,3,7,42.9%,0,0,-,0,3,3,0,1,1,0,0,4,0,0,9
18416,10,-,犬飼 啓介,PF,04:12,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
18417,12,-,三浦 正和,PF,07:45,0,0,2,0.0%,0,1,0.0%,0,0,-,0,0,0,0,1,0,0,0,1,0,0,-3
18418,15,-,小椋 信吾,PF,05:55,0,0,0,-,0,0,-,0,0,-,0,0,0,2,0,1,0,0,0,0,0,3
9234,16,〇,伊藤 良太,PG,35:32,16,6,13,46.2%,3,6,50.0%,1,2,50.0%,1,4,5,2,2,2,0,1,2,0,0,15
18419,17,〇,杉本 憲男,SG,22:39,8,3,7,42.9%,2,4,50.0%,0,0,-,0,1,1,2,1,1,0,0,4,0,0,7
18421,25,-,中野 大介,PF,05:06,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,1,0,0,1,0,0,1
18422,33,-,杉本 慎太郎,PG,13:32,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,1,2,1,0,0,2,0,0,0
18456,44,〇,マイケル・アリソン,C,33:48,17,8,15,53.3%,0,1,0.0%,1,2,50.0%,2,5,7,3,2,1,1,0,4,0,0,19
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,3,5,0,5,0,0,0,0,0,0,0
,,,合計,,200:00,68,28,64,43.8%,10,25,40.0%,2,4,50.0%,6,24,30,13,19,8,2,1,20,0,0,64
