id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9060,0,〇,藤江 建典,SG,32:05,11,5,11,45.5%,1,4,25.0%,0,0,-,0,0,0,1,3,0,0,0,2,0,0,3
8715,5,-,千葉 慎也,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9497,6,〇,今井 宏樹,PG,26:18,6,2,6,33.3%,2,5,40.0%,0,2,0.0%,0,1,1,0,3,1,0,0,3,0,0,-1
18448,18,-,パウロ・ソピーテ,PF,08:02,2,1,1,100.0%,0,0,-,0,2,0.0%,0,2,2,0,0,0,0,0,1,0,0,2
9245,25,-,草野 佑太,PG,11:48,0,0,5,0.0%,0,2,0.0%,0,0,-,1,0,1,1,1,0,0,0,2,0,0,-4
18439,30,〇,タイタス・ロビンソン,PF,33:58,17,6,19,31.6%,3,8,37.5%,2,2,100.0%,2,3,5,3,3,0,0,0,1,0,0,9
15821,55,〇,マーカス・クザン,C,31:58,15,6,11,54.5%,0,0,-,3,5,60.0%,7,12,19,3,1,1,2,0,1,0,0,32
18407,63,-,久川 貴之,SG,01:24,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8755,68,-,永田 晃司,SG,25:11,3,1,3,33.3%,1,3,33.3%,0,0,-,0,3,3,2,2,0,0,1,2,0,0,4
8740,93,〇,伴 晃生,PG,29:16,10,3,8,37.5%,2,6,33.3%,2,2,100.0%,2,4,6,3,1,3,0,0,3,0,0,16
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,2,0,2,0,3,0,0,0,0,0,0,-1
,,,合計,,200:00,64,24,64,37.5%,9,28,32.1%,7,13,53.8%,14,25,39,13,17,5,2,1,15,0,0,60
