id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18413,1,-,小澤 友教,05:52,3,1,1,100.0%,0,0,-,1,2,50.0%,0,0,0,1,2,0,0,0,1,0,0,1,
9458,6,〇,ビンゴ・メリエックス,31:38,4,2,11,18.2%,0,4,0.0%,0,0,-,0,6,6,4,2,1,0,0,1,0,0,4,
18415,8,〇,田中 昌寛,24:19,5,2,7,28.6%,1,4,25.0%,0,0,-,0,1,1,0,1,0,0,0,2,0,0,0,
18416,10,-,犬飼 啓介,19:04,5,2,2,100.0%,1,1,100.0%,0,0,-,2,2,4,1,0,1,2,0,2,0,0,13,
18417,12,-,三浦 正和,05:14,0,0,1,0.0%,0,0,-,0,0,-,0,1,1,0,0,0,0,0,1,0,0,0,
9234,16,-,伊藤 良太,35:10,25,8,16,50.0%,1,5,20.0%,8,8,100.0%,3,2,5,5,0,1,0,0,2,0,0,28,
18419,17,-,杉本 憲男,07:12,6,2,5,40.0%,2,3,66.7%,0,0,-,0,0,0,0,1,1,0,0,2,0,0,3,
18420,18,-,山田 洋介,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,
18421,25,-,中野 大介,02:40,0,0,0,-,0,0,-,0,0,-,1,0,1,0,0,0,0,0,1,0,0,1,
18422,33,〇,杉本 慎太郎,17:33,0,0,3,0.0%,0,3,0.0%,0,0,-,0,0,0,0,2,0,0,0,1,0,0,-5,
22393,37,〇,吉田 健太郎,24:40,6,2,7,28.6%,1,4,25.0%,1,1,100.0%,0,2,2,0,2,4,0,0,3,0,0,5,
18456,44,〇,マイケル・アリソン,26:38,10,4,10,40.0%,0,0,-,2,4,50.0%,1,8,9,2,4,3,2,0,2,0,0,14,
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,0,0,0,0
,,,合計,,200:00,64,23,63,36.5%,6,24,25.0%,12,15,80.0%,7,23,30,13,15,11,4,0,18,0,0,64
