id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9406,2,-,玉田 博人,SG,09:39,2,1,2,50.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,1
8543,6,〇,館山 健太,SF,21:16,6,2,6,33.3%,2,5,40.0%,0,0,-,0,3,3,1,1,0,0,0,4,0,0,5
9401,10,-,林 亮太,PG,09:59,2,1,2,50.0%,0,1,0.0%,0,0,-,0,0,0,1,4,0,0,0,1,0,0,-2
9399,31,〇,山田 安斗夢,PG,33:52,9,3,11,27.3%,0,2,0.0%,3,4,75.0%,1,6,7,7,1,1,0,0,2,0,0,14
18455,33,-,苗田 剛汰,SF,02:04,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,0
9409,41,〇,松崎 圭介,SG,24:43,5,2,4,50.0%,1,2,50.0%,0,0,-,3,4,7,2,1,1,0,0,3,0,0,12
18470,44,〇,アントン・ウォーレン,C,34:28,23,9,22,40.9%,0,1,0.0%,5,10,50.0%,5,8,13,1,2,0,0,1,4,0,0,17
8743,58,〇,永山 雄太,SG,16:52,6,2,6,33.3%,2,3,66.7%,0,0,-,0,1,1,3,1,2,0,0,1,0,0,7
18425,59,-,福田 惟吹,PF,27:43,4,2,13,15.4%,0,0,-,0,2,0.0%,2,2,4,1,1,0,0,2,2,0,0,-5
15842,77,-,川上 貴一,SF,19:24,11,2,4,50.0%,1,2,50.0%,6,7,85.7%,1,5,6,1,1,1,0,0,2,0,0,15
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,4,5,0,1,0,0,0,0,0,0,4
,,,合計,,200:00,68,24,70,34.3%,6,16,37.5%,14,23,60.9%,13,33,46,17,13,5,0,3,22,0,0,68
