id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
9213,2,-,坂本 裕基,SG,02:57,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,0,0,-1
9214,3,-,横塚 蛍,SG,12:50,7,3,4,75.0%,1,1,100.0%,0,0,-,0,2,2,1,1,1,0,0,1,0,0,9
9215,7,-,塩塚 直人,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9216,10,-,谷尾 俊紀,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9217,13,-,西片 翼,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9219,16,-,鮫島 宗一郎,SF,03:36,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9220,17,-,田村 晋,PF,15:23,0,0,2,0.0%,0,0,-,0,0,-,1,3,4,0,1,0,0,0,1,0,0,1
9258,22,-,鳴海 亮,PG,24:25,7,2,10,20.0%,1,7,14.3%,2,2,100.0%,1,0,1,1,0,0,0,0,0,0,0,1
9316,23,〇,ジョシュ・ペッパーズ,PF,38:52,25,7,16,43.8%,3,6,50.0%,8,10,80.0%,1,7,8,6,2,0,1,0,4,0,0,27
9222,30,〇,村田 翔,SF,06:32,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,1,0,1,0,0,3
9223,32,〇,長谷川 武,PF,27:57,9,3,7,42.9%,1,3,33.3%,2,4,50.0%,5,2,7,6,1,3,0,0,2,0,0,18
9435,34,〇,カイル・リチャードソン,PF,34:35,10,4,10,40.0%,0,0,-,2,6,33.3%,2,5,7,1,2,1,1,0,3,0,0,8
12658,49,〇,飯田 鴻朗,PG,12:45,2,1,3,33.3%,0,0,-,0,0,-,0,0,0,1,1,1,0,0,1,0,0,1
10259,55,-,小林 礼秧,PF,09:40,6,3,6,50.0%,0,0,-,0,0,-,0,0,0,1,0,0,0,0,3,0,0,4
8648,91,-,落合 知也,PF,10:28,2,0,4,0.0%,0,1,0.0%,2,2,100.0%,1,0,1,0,0,0,0,0,1,0,0,-1
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,2,3,0,0,0,0,0,0,0,0,3
,,,合計,,200:00,68,23,63,36.5%,6,18,33.3%,16,24,66.7%,12,23,35,17,8,6,3,0,20,0,0,73
