id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
15752,2,-,岡田 雄三,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9277,3,〇,髙橋 理輝,PG,24:28,7,2,10,20.0%,1,4,25.0%,2,2,100.0%,0,0,0,6,1,1,0,0,1,0,0,5
10260,14,〇,ニヨギゼラ・イーヴェ,C,25:41,8,4,6,66.7%,0,0,-,0,0,-,4,6,10,1,0,0,0,0,4,0,0,17
9281,15,-,落合 恭兵,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9282,17,-,石原 裕貴,PG,27:14,22,7,16,43.8%,3,7,42.9%,5,7,71.4%,0,3,3,9,3,3,0,1,4,0,0,23
15835,24,〇,卜部 兼慎,SF,25:24,18,7,10,70.0%,4,7,57.1%,0,0,-,0,1,1,2,0,1,0,0,1,0,0,19
9284,28,-,熊谷 慎也,C,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
10816,32,-,池嶋 一輝,PF,07:54,0,0,3,0.0%,0,2,0.0%,0,0,-,0,1,1,1,1,0,0,0,0,0,0,-2
9285,33,-,藤田 俊祐,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9287,37,-,渡邊 拓実,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
15810,38,-,宮脇 隼人,C,14:19,2,0,1,0.0%,0,0,-,2,2,100.0%,0,1,1,0,0,1,0,0,3,0,0,3
8762,42,〇,ケビン・コッツァー,PF,40:00,22,9,17,52.9%,1,1,100.0%,3,5,60.0%,3,14,17,1,4,0,0,1,2,0,0,26
9289,55,〇,熊澤 恭平,SG,35:00,14,4,6,66.7%,1,2,50.0%,5,8,62.5%,0,0,0,6,0,2,0,1,4,0,0,17
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,4,2,6,0,0,0,0,0,0,0,0,6
,,,合計,,200:00,93,33,69,47.8%,10,23,43.5%,17,24,70.8%,11,28,39,26,9,8,0,3,19,0,0,114
