id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
8706,2,-,椎名 雄大,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8546,6,〇,長澤 健司,SG,09:00,2,0,1,0.0%,0,1,0.0%,2,2,100.0%,0,1,1,0,1,0,0,0,4,0,0,1
8548,9,-,長谷川 凌,PF,01:56,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0
9257,11,〇,上松 大輝,SF,23:33,8,2,7,28.6%,2,6,33.3%,2,3,66.7%,0,7,7,1,1,0,0,1,0,0,0,9
9420,13,〇,ライアン・ステファン,C,33:26,13,6,16,37.5%,0,4,0.0%,1,1,100.0%,5,8,13,5,2,1,0,0,0,0,0,20
18449,17,-,小林 和世,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
8707,23,-,齋藤 豊,SF,11:58,3,0,4,0.0%,0,4,0.0%,3,4,75.0%,0,2,2,1,2,1,0,0,4,0,0,0
9243,30,-,佐野 隆司,SF,21:02,9,3,8,37.5%,3,8,37.5%,0,0,-,1,3,4,0,1,1,0,0,0,0,0,8
8708,33,-,宮田 諭,PG,20:58,1,0,5,0.0%,0,1,0.0%,1,2,50.0%,0,3,3,2,1,1,0,0,1,0,0,0
12648,40,〇,ジョーダン・フェイゾン,C,34:03,22,9,12,75.0%,0,0,-,4,5,80.0%,6,5,11,5,4,0,1,0,0,0,0,31
10891,41,-,小倉 渓,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12601,44,-,丹野 合気,PG,20:47,19,7,13,53.8%,4,8,50.0%,1,1,100.0%,0,2,2,2,2,1,0,0,0,0,0,16
9365,51,〇,田口 暖,PG,23:17,11,4,9,44.4%,2,4,50.0%,1,2,50.0%,1,3,4,2,0,2,0,0,3,0,0,13
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,4,4,0,0,0,0,0,0,0,0,4
,,,合計,,200:00,88,31,75,41.3%,11,36,30.6%,15,20,75.0%,13,38,51,18,14,7,1,1,13,0,0,102
