id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18469,0,-,シェルトン・ボイキン,PF,04:35,3,1,3,33.3%,0,1,0.0%,1,2,50.0%,0,1,1,0,1,0,0,0,1,0,0,0
9406,2,〇,玉田 博人,SG,23:43,9,4,8,50.0%,1,2,50.0%,0,0,-,0,2,2,4,2,0,0,0,1,0,0,9
8543,6,-,館山 健太,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9401,10,-,林 亮太,PG,16:09,3,1,4,25.0%,1,4,25.0%,0,0,-,0,0,0,0,2,1,0,0,3,0,0,-1
9399,31,〇,山田 安斗夢,36:15,15,6,7,85.7%,2,2,100.0%,1,2,50.0%,0,6,6,10,5,1,0,0,3,0,0,25,
9409,41,〇,松崎 圭介,SG,31:14,5,2,8,25.0%,1,6,16.7%,0,0,-,2,3,5,3,1,1,0,1,2,0,0,7
18470,44,〇,アントン・ウォーレン,30:46,21,9,12,75.0%,0,0,-,3,6,50.0%,1,17,18,1,2,0,9,0,2,0,0,41,
8743,58,-,永山 雄太,SG,14:05,11,3,5,60.0%,3,5,60.0%,2,2,100.0%,0,1,1,1,0,0,0,0,2,0,0,11
18425,59,-,福田 惟吹,PF,15:12,7,3,3,100.0%,0,0,-,1,2,50.0%,0,0,0,2,2,0,0,0,0,0,0,6
15842,77,〇,川上 貴一,SF,28:01,18,5,8,62.5%,1,2,50.0%,7,10,70.0%,0,1,1,1,2,0,1,0,2,0,0,13
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,0,3,3,0,2,0,0,0,0,0,0,1
,,,合計,,200:00,92,34,58,58.6%,9,22,40.9%,15,24,62.5%,3,34,37,22,19,3,10,1,16,0,0,112
