id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18469,0,〇,シェルトン・ボイキン,PF,27:14,17,6,16,37.5%,2,6,33.3%,3,4,75.0%,3,0,3,3,4,1,0,1,3,0,0,9
9406,2,-,玉田 博人,SG,20:41,4,2,3,66.7%,0,0,-,0,0,-,0,2,2,0,2,2,0,0,0,0,0,5
8543,6,〇,館山 健太,SF,10:40,0,0,4,0.0%,0,1,0.0%,0,0,-,0,0,0,1,1,1,0,0,0,0,0,-3
18457,9,-,入間川 大樹,SG,03:00,0,0,2,0.0%,0,2,0.0%,0,0,-,0,0,0,0,1,0,0,0,0,0,0,-3
9401,10,〇,林 亮太,PG,13:50,6,2,3,66.7%,2,3,66.7%,0,0,-,0,0,0,0,3,0,0,0,1,0,0,2
20030,11,-,比屋根 貴也,PG,01:04,0,0,1,0.0%,0,0,-,0,0,-,1,0,1,0,1,0,0,0,0,0,0,-1
12649,29,-,赤塚 将輝,PF,04:08,0,0,1,0.0%,0,0,-,0,0,-,0,0,0,1,0,2,0,0,1,0,0,2
18455,33,-,苗田 剛汰,SF,03:00,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,0,0,0,0,2
9409,41,-,松崎 圭介,SG,24:24,0,0,3,0.0%,0,3,0.0%,0,0,-,1,3,4,3,5,3,0,0,2,0,0,2
12660,50,〇,ジージオ・ベイン,C,29:30,10,5,7,71.4%,0,0,-,0,3,0.0%,2,9,11,0,4,2,1,1,1,0,0,15
8743,58,-,永山 雄太,SG,19:51,1,0,3,0.0%,0,2,0.0%,1,2,50.0%,1,0,1,2,0,4,1,0,3,0,0,5
18425,59,〇,福田 惟吹,PF,15:11,4,2,4,50.0%,0,0,-,0,0,-,1,4,5,1,0,1,0,0,5,0,0,9
15842,77,-,川上 貴一,SF,27:27,20,6,12,50.0%,4,6,66.7%,4,6,66.7%,0,0,0,0,1,0,1,1,2,0,0,12
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,1,2,0,2,0,0,0,0,0,0,0
,,,合計,,200:00,62,23,59,39.0%,8,23,34.8%,8,15,53.3%,10,21,31,11,24,16,3,3,18,0,0,56
