id,#,S,PLAYER,PO,MIN,PTS,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,AS,TO,ST,BS,BSR,F,FD,DUNK,EFF
18469,0,〇,シェルトン・ボイキン,PF,36:18,18,8,19,42.1%,1,5,20.0%,1,3,33.3%,1,8,9,4,2,0,0,1,1,0,0,16
9406,2,-,玉田 博人,SG,09:50,0,0,1,0.0%,0,0,-,0,0,-,1,1,2,0,0,0,0,0,0,0,0,1
8543,6,〇,館山 健太,SF,27:27,10,3,10,30.0%,2,5,40.0%,2,3,66.7%,0,1,1,1,4,0,0,0,3,0,0,0
18457,9,-,入間川 大樹,SG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9401,10,〇,林 亮太,PG,13:06,5,2,5,40.0%,1,3,33.3%,0,0,-,0,1,1,0,0,0,0,0,2,0,0,3
20030,11,-,比屋根 貴也,PG,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
12649,29,-,赤塚 将輝,PF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9399,31,〇,山田 安斗夢,PG,35:30,11,3,5,60.0%,0,0,-,5,6,83.3%,0,5,5,9,1,3,1,0,3,0,0,25
18455,33,-,苗田 剛汰,SF,00:00,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0
9409,41,-,松崎 圭介,SG,06:58,0,0,1,0.0%,0,1,0.0%,0,0,-,0,3,3,0,1,0,0,0,0,0,0,1
18470,44,〇,アントン・ウォーレン,40:00,25,10,16,62.5%,0,0,-,5,6,83.3%,5,6,11,1,1,0,1,1,4,0,0,30,
8743,58,-,永山 雄太,SG,09:37,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,0,0,0,2
18425,59,-,福田 惟吹,PF,03:42,2,1,1,100.0%,0,0,-,0,0,-,0,2,2,1,0,0,0,0,0,0,0,5
15842,77,-,川上 貴一,SF,17:32,8,3,8,37.5%,2,6,33.3%,0,0,-,0,1,1,1,1,0,0,0,1,0,0,4
,,,TEAM / COACHES,,,0,0,0,-,0,0,-,0,0,-,1,0,1,0,1,0,0,0,0,0,0,0
,,,合計,,200:00,79,30,66,45.5%,6,20,30.0%,13,18,72.2%,8,29,37,18,11,3,2,2,14,0,0,87
